  F9482    15.70    0.15     2.90  0.111  -1.20   0   8   0  2.62254  2.42412  22.04152  55219.5651
  a6451    16.70    0.15     3.05  0.040   1.34   0  16  16  1.51574  1.10398  40.44348  55220.1214
K10B76T    16.80    0.15     2.24  0.067  -1.20   0   3   0  2.36168  2.14298  24.63139  55220.4901
  N7881    16.00    0.15     3.14  0.071  -1.20   0  10   0  2.67532  2.48185  21.58700  55220.4903
  17628    14.80    0.15     2.78  0.274   1.27   0  15   9  1.82345  1.48219  33.14641  55220.6227
  N1707    15.50    0.15     2.05  0.265  -1.20   0  11   0  1.89746  1.61855  31.25234  55221.0164
K10B78S    15.30    0.15     3.70  0.098  -1.20   0   3   0  2.88393  2.70731  19.95769  55221.0213
  06170    13.40    0.15     5.68  0.239   1.37   0  13  13  1.88169  1.60054  31.54477  55221.1514
  U6715    14.50    0.15     5.66  0.087   1.25   0  11   9  2.71444  2.46766  21.22242  55221.3176
K10B79K    17.10    0.15     1.92  0.069  -1.20   0   5   0  2.17073  1.87454  26.91809  55221.3199
K10B81N    17.20    0.15     2.36  0.042   2.68   0  12   5  1.63534  1.30449  37.01349  55221.5526
  13920    14.60    0.15     2.81  0.324  -1.20   0   4   0  2.38123  2.16569  24.41856  55221.6821
  E5888    16.40    0.15     3.48  0.040   1.31   0  13  10  2.15127  1.84972  27.17797  55221.7142
K10B82Z    15.50    0.15     2.72  0.151  -1.20   0   4   0  2.47232  2.20748  23.42125  55221.7188
  27057    14.30    0.15     3.77  0.236   1.19   0  11   8  2.19354  1.96057  26.66793  55221.9466
K10B84J    15.50    0.15     2.89  0.133  -1.20   0   6   0  2.55173  2.29038  22.64737  55221.9786
  10502    15.00    0.15     3.34  0.159  -1.20   0  12   0  2.47867  2.27448  23.40267  55222.0769
K10B86T    16.20    0.15     2.98  0.066  -1.20   0   6   0  2.74160  2.49898  21.00803  55222.3726
K10B86Z    18.30    0.15     1.20  0.059  -1.20   0   9   0  1.68310  1.29871  35.70826  55222.3765
  j2666    16.40    0.15     1.58  0.194  -1.20   0  13   0  1.70220  1.39012  35.33929  55222.4807
K10B86W    16.80    0.15     1.54  0.142  -1.20   0   8   0  1.85660  1.50900  31.95073  55222.5068
K10B88P    15.80    0.15     4.31  0.045   2.73   0   5   2  2.37064  2.09584  24.49273  55222.5726
  A3161    16.50    0.15     1.83  0.133  -1.20   0   9   0  2.11218  1.80073  27.71652  55222.6401
K10B89S    17.90    0.15     1.21  0.083  -1.20   0   4   0  1.83864  1.48896  32.30568  55222.7771
  O6162    15.90    0.15     3.95  0.049  -1.20   0   6   0  3.01130  2.84756  19.08354  55222.8733
K10B92G    17.80    0.15     1.29  0.080  -1.20   0   6   0  1.85048  1.50017  32.06651  55222.9052
  40310    16.20    0.15     3.90  0.039   1.42   0  12   7  2.40349  2.12466  24.12604  55222.9054
  06261    14.20    0.15     4.01  0.229   1.48   0  12   9  2.12075  1.88248  27.66345  55223.0029
  88609    16.00    0.15     2.60  0.104  -1.20   0   7   0  2.29096  2.07431  25.45234  55223.0047
  c2486    16.00    0.15     1.53  0.301  -1.20   0  12   0  1.84247  1.56219  32.30310  55223.0088
K10B94M    16.80    0.15     2.29  0.064  -1.20   0   8   0  2.37144  2.08743  24.46915  55223.1689
K10B96H    15.50    0.15     2.87  0.135  -1.20   0   8   0  2.55282  2.28591  22.63199  55223.4342
K10B98E    15.50    0.15     4.40  0.058   1.40   0  12  11  2.55452  2.28946  22.61963  55223.5641
  b0212    17.30    0.15     0.95  0.235  -1.20   0   8   0  1.61282  1.22101  37.56215  55223.5741
  f1187    17.80    0.15     1.73  0.045  -1.20   0  11   0  2.06188  1.81782  28.52654  55223.7997
K10BA0H    15.20    0.15     3.04  0.159  -1.20   0   7   0  2.67691  2.49728  21.58169  55223.8012
K10B97D    16.20    0.15     2.99  0.065  -1.20   0   5   0  2.67507  2.49208  21.59750  55223.8631
K10BA2J    15.50    0.15     2.98  0.125  -1.20   0   9   0  2.46782  2.26830  23.51647  55223.9298
K10BA3W    18.20    0.15     0.95  0.102  -1.20   0  13   0  1.70540  1.32562  35.18183  55224.2250
  H9630    16.10    0.15     1.99  0.162  -1.20   0  14   0  2.02556  1.69873  29.01024  55224.3608
  C0966    16.20    0.15     2.36  0.105  -1.20   0  11   0  2.36691  2.15986  24.58539  55224.5936
K09T13J    18.60    0.15     0.57  0.196  -1.20   0   2   0  1.40779  0.93558  44.24912  55225.0246
  32039    14.60    0.15     3.04  0.276  -1.20   0  13   0  2.02050  1.72656  30.22412  55225.1236
K10BB0R    16.20    0.15     3.53  0.047  -1.20   0   7   0  2.67623  2.49958  21.59065  55225.1241
K10BB1O    17.10    0.15     1.87  0.073  -1.20   0   9   0  2.19027  1.89201  26.66453  55225.1605
  N9832    15.70    0.15     2.03  0.225   1.08   0  16  13  1.67719  1.36571  35.96196  55225.5242
K10BB6U    16.50    0.15     2.65  0.063  -1.20   0   4   0  2.56722  2.29495  22.49329  55225.9491
