Wavelength,Flux (Jy),Error (Jy)
1.3007929471530177,0.00013818332952260842,1.9240018495289487e-06
1.305798101680319,0.0001427102933277055,1.8263990209083529e-06
1.3108032562076204,0.0001427736608466544,2.031784762327774e-06
1.3158084107349217,0.0001443058196705276,2.0281074134613846e-06
1.320813565262223,0.00014687309449641165,1.9835809942517037e-06
1.3258187197895244,0.00014452129715448022,1.8461342576033973e-06
1.3308238743168257,0.00014275434724306458,1.818249877850114e-06
1.335829028844127,0.00014064469828228919,1.753694197931902e-06
1.3408341833714283,0.00014034636458356664,1.5956276636928944e-06
1.3458393378987297,0.00013899626488749574,1.6121945774752686e-06
1.350844492426031,0.0001380295901561425,1.588408101611186e-06
1.3558496469533323,0.000138334999407283,1.598727555838573e-06
1.3608548014806336,0.00014005030414109324,1.5680791499261654e-06
1.365859956007935,0.00013902126371301946,1.5425535358114988e-06
1.3708651105352363,0.0001378534410499358,1.5411555836587078e-06
1.3758702650625376,0.0001374493680223459,1.5019558146405316e-06
1.380875419589839,0.00013445031030626426,1.481387851822578e-06
1.3858805741171403,0.00013255013719868728,1.4833097828052032e-06
1.3908857286444416,0.00013211275206565206,1.7736778859188025e-06
1.395890883171743,0.00013221427658191313,2.0062523811795986e-06
1.4008960376990442,0.00013179118553555125,1.9564484255722803e-06
1.4059011922263456,0.00012943353542760617,1.933529312715883e-06
1.410906346753647,0.00013041387655857628,1.3555569326323984e-06
1.4159115012809482,0.00012983650529852325,1.3299158285186577e-06
1.4209166558082496,0.00012799215957790528,1.3299492677492179e-06
1.4259218103355509,0.00012526818432489884,1.307796710068937e-06
1.4309269648628522,0.00012365557696512595,1.788691589119489e-06
1.4359321193901535,0.00012785170373302596,1.7590106729437844e-06
1.4409372739174549,0.00012311541886948,1.6655158010152235e-06
1.4459424284447562,0.0001190605494462254,1.5492181389393524e-06
1.4509475829720575,0.00011931608184394222,1.131817557431934e-06
1.4559527374993588,0.00011510532184581717,1.1156392891559981e-06
1.4609578920266602,0.0001063021879122393,1.0722347256483014e-06
1.4659630465539615,0.00010163395644627791,1.030625263522177e-06
1.4709682010812628,0.00010056871380282833,1.0216413106418725e-06
1.4759733556085644,9.800875260686137e-05,1.0037484724025326e-06
1.4809785101358657,5.375690614556691e-05,8.124850507358529e-07
