
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-pluto-small-moons
> node site/test/dom-cleanliness-browser.mjs

NAVIGATION PASS DPR 1: six hops; retained universe and shell; no node or stylesheet growth
PASS hiiaka DPR 2: 71025 nodes; retained interaction
PASS squannit DPR 2: 71313 nodes; retained interaction
PASS romulus DPR 2: 71025 nodes; retained interaction
PASS menoetius DPR 2: 71025 nodes; retained interaction
PASS caliban DPR 2: 71025 nodes; retained interaction
PASS sycorax DPR 2: 71025 nodes; retained interaction
PASS prospero DPR 2: 71025 nodes; retained interaction
PASS setebos DPR 2: 71025 nodes; retained interaction
PASS paaliaq DPR 2: 71025 nodes; retained interaction
PASS tarvos DPR 2: 71025 nodes; retained interaction
PASS ijiraq DPR 2: 71025 nodes; retained interaction
PASS suttungr DPR 2: 71025 nodes; retained interaction
PASS mundilfari DPR 2: 71025 nodes; retained interaction
PASS skathi DPR 2: 71025 nodes; retained interaction
PASS erriapus DPR 2: 71025 nodes; retained interaction
PASS thrymr DPR 2: 71025 nodes; retained interaction
PASS bebhionn DPR 2: 71025 nodes; retained interaction
PASS bergelmir DPR 2: 71025 nodes; retained interaction
PASS bestla DPR 2: 71025 nodes; retained interaction
PASS fornjot DPR 2: 71025 nodes; retained interaction
PASS hati DPR 2: 71025 nodes; retained interaction
PASS hyrrokkin DPR 2: 71025 nodes; retained interaction
PASS loge DPR 2: 71025 nodes; retained interaction
PASS skoll DPR 2: 71025 nodes; retained interaction
PASS greip DPR 2: 71025 nodes; retained interaction
PASS tarqeq DPR 2: 71025 nodes; retained interaction
PASS albiorix DPR 2: 71025 nodes; retained interaction
PASS kiviuq DPR 2: 70993 nodes; retained interaction
PASS comet-1p DPR 2: 71513 nodes; retained interaction
PASS comet-81p DPR 2: 71505 nodes; retained interaction
PASS comet-103p DPR 2: 71513 nodes; retained interaction
PASS comet-9p DPR 2: 71513 nodes; retained interaction
PASS comet-67p DPR 2: 71513 nodes; retained interaction
PASS ymir DPR 2: 70993 nodes; retained interaction
PASS siarnaq DPR 2: 71025 nodes; retained interaction
PASS himalia DPR 2: 71025 nodes; retained interaction
PASS nereid DPR 2: 71025 nodes; retained interaction
PASS aegaeon DPR 2: 70993 nodes; retained interaction
PASS anthe DPR 2: 71025 nodes; retained interaction
PASS polydeuces DPR 2: 71025 nodes; retained interaction
PASS rosalind DPR 2: 71025 nodes; retained interaction
PASS desdemona DPR 2: 71025 nodes; retained interaction
PASS cressida DPR 2: 71025 nodes; retained interaction
PASS bianca DPR 2: 71025 nodes; retained interaction
PASS ophelia DPR 2: 71033 nodes; retained interaction
PASS cordelia DPR 2: 71025 nodes; retained interaction
PASS belinda DPR 2: 71025 nodes; retained interaction
PASS juliet DPR 2: 71037 nodes; retained interaction
PASS portia DPR 2: 71025 nodes; retained interaction
PASS pallene DPR 2: 71025 nodes; retained interaction
PASS methone DPR 2: 71025 nodes; retained interaction
PASS puck DPR 2: 71025 nodes; retained interaction
PASS amalthea DPR 2: 71313 nodes; retained interaction
PASS thebe DPR 2: 71237 nodes; retained interaction
PASS metis DPR 2: 71025 nodes; retained interaction
PASS adrastea DPR 2: 71025 nodes; retained interaction
PASS naiad DPR 2: 71033 nodes; retained interaction
PASS thalassa DPR 2: 71029 nodes; retained interaction
PASS despina DPR 2: 71029 nodes; retained interaction
PASS galatea DPR 2: 71025 nodes; retained interaction
PASS proteus DPR 2: 71613 nodes; retained interaction
PASS larissa DPR 2: 71113 nodes; retained interaction
PASS daphnis DPR 2: 70913 nodes; retained interaction
PASS calypso DPR 2: 71113 nodes; retained interaction
PASS telesto DPR 2: 71113 nodes; retained interaction
PASS helene DPR 2: 71313 nodes; retained interaction
PASS sun DPR 2: 71026 nodes; retained interaction
PASS mercury DPR 2: 71415 nodes; retained interaction
PASS venus DPR 2: 70962 nodes; retained interaction
PASS earth DPR 2: 72578 nodes; retained interaction
PASS moon DPR 2: 70979 nodes; retained interaction
PASS mars DPR 2: 71031 nodes; retained interaction
PASS ryugu DPR 2: 71315 nodes; retained interaction
PASS bennu DPR 2: 71329 nodes; retained interaction
PASS itokawa DPR 2: 71319 nodes; retained interaction
PASS eros DPR 2: 71325 nodes; retained interaction
PASS ida DPR 2: 71313 nodes; retained interaction
PASS gaspra DPR 2: 71333 nodes; retained interaction
PASS mathilde DPR 2: 71325 nodes; retained interaction
PASS lutetia DPR 2: 71337 nodes; retained interaction
PASS steins DPR 2: 71313 nodes; retained interaction
PASS didymos DPR 2: 71313 nodes; retained interaction
PASS dimorphos DPR 2: 71341 nodes; retained interaction
PASS kleopatra DPR 2: 71333 nodes; retained interaction
PASS toutatis DPR 2: 71313 nodes; retained interaction
PASS pallas DPR 2: 71349 nodes; retained interaction
PASS hygiea DPR 2: 71365 nodes; retained interaction
PASS juno DPR 2: 71329 nodes; retained interaction
