1481               74.2279587 -66.4929962 P92  O7 V((f))                      
N11-080            74.2279587 -66.4150848 E06  O7: V  + O9: Binary (SB2)      
Sk -66 32          74.2279587 -66.4800262 M95  O6 III(f)                      
N11-062            74.2306213 -66.5505066 E06  B0.2 V Binary (SB1)            
1486               74.2315826 -66.4827499 P92  O6.5 V                         
N11-066            74.2396240 -66.5892563 E06  O7 V((f))                      
N11-045            74.2429962 -66.5258102 E06  O9-9.5 III                     
N11-112            74.2437515 -66.5454407 E06  B1 Vn Binary                   
N11-048            74.2449570 -66.4113083 E06  O6.5 V((f))                    
N11-098            74.2457047 -66.5795288 E06  B2 III Binary (SB1)            
LH10-3209          74.2458344 -66.4105606 W02  O2-3 III(f*) + OB              
N11-083            74.2509995 -66.5378571 E06  B0.5 V                         
3222               74.2535019 -66.4038620 P92  early B                        
N11-013            74.2535858 -66.4068909 E06  O8 V Binary (SB2)              
N11-050            74.2536697 -66.3991928 E06  O4-5 + O7: Binary (SB2)        
N11-043            74.2544174 -66.4749451 E06  O7 III + B0: Binary (SB2)      
N11-091            74.2555008 -66.3369446 E06  O9 V Binary                    
N11-067            74.2638779 -66.5022507 E06  B0.5: Vn Binary                
N11-005            74.2670822 -66.4861374 E06  B1 Ia                          
Sk -66 35          74.2685013 -66.5773849 F88  BC1 Ia                         
N11-070            74.2692108 -66.4061966 E06  B3 III                         
Sk -68 11          74.2701263 -68.4029465 M00  B0.5 Ia                        
LH12-1004          74.2725830 -68.4148331 M00  O8 V                           
LH12-1018          74.2766647 -68.4150314 M00  O8 V                           
LH12-22            74.2779160 -68.4097824 M00  B0.5 III                       
LH12-24            74.2819977 -68.4165573 M00  B1.5 III                       
Sk -68 12          74.2835388 -68.4200821 M00  B2 Ia                          
N11-001            74.2868729 -66.3903046 E06  B2 Ia                          Sk -66 36
N11-108            74.2887955 -66.3699493 E06  O9.5 V                         
N11-055            74.2940445 -66.3018951 E06  O8-9 IIIne                     
LH12-25            74.2949982 -68.4146118 M00  O8 V                           
N11-073            74.2969131 -66.4482803 E06  B0.5 (Be-Fe)                   
N11-064            74.2977905 -66.3718872 E06  B0.2:  Vn Binary               
Sk -69 50          74.3128738 -69.3388672 M95  O7 If                          
N11-120            74.3134155 -66.3748627 E06  B0.2 Vn Binary                 
HV2241             74.3158340 -66.5655594 O01b O7 III  + B0 III               
N11-028            74.3176651 -66.3891068 E06  O6-8 V                         
LH12-30            74.3194580 -68.4362488 M00  O4 V((f))                      
N11-040            74.3196640 -66.4729691 E06  B0: IIIn Binary?               
Sk -68 14          74.3199997 -68.4109726 M00  B2 Ia                          
N11-094            74.3211670 -66.5062485 E06  B1 III Binary (SB1)            
N11-009            74.3236694 -66.4420853 E06  B3 Iab                         
N11-054            74.3263779 -66.4332199 E06  B1 Ib                          
LH12-1014          74.3314590 -68.4005585 M00  O9 V                           
LH12-1020          74.3359146 -68.4248886 M00  O8 V                           
LH12-12            74.3364563 -68.3919678 M00  O8 V                           
N11-100            74.3383713 -66.4169998 E06  B0.5 V                         
LH12-34            74.3392105 -68.4435577 M00  O8 V                           
N11-075            74.3418732 -66.3224182 E06  B2 III Binary?                 
N11-015            74.3420029 -66.4076385 E06  B0.7 Ib                        
BAT99-11           74.3504181 -68.3992462 B01  WC4                            Sk -68 15
N11-071            74.3507919 -66.4333344 E06  O8: V Binary (SB2)             
N11-061            74.3572083 -66.3515015 E06  O9 V                           
LH12-16            74.3574982 -68.3978882 M00  O8 II(f)                       
BAT99-12           74.3643341 -67.6508102 S08  O3 If*/WN6 SB                  Sk -67 22
N11-035            74.3695831 -66.5173340 E06  O9 II(f) Binary (SB1)          
N11-082            74.3853760 -66.4969711 E06  B1-2 +early-B Binary (SB2)     
N11-090            74.3854599 -66.4324417 E06  B2e                            
LH12-10            74.3972931 -68.3824768 M00  O8.5 V                         
S12                74.4032516 -67.7937241 Z06  B0.5[e]                        
N11-110            74.4046249 -66.3957443 E06  B1 III                         
N11-114            74.4070435 -66.4134750 E06  B0 Vn                          
Sk -68 16          74.4074554 -68.4099731 M00  O7 III                         
N11-095            74.4079971 -66.4165878 E06  B1 Vn                          
N11-052            74.4171677 -66.4341125 E06  O9.5 V Binary (SB2)            
N11-063            74.4188766 -66.4569702 E06  O9: Vn Binary (SB2)            
N11-036            74.4208298 -66.4989929 E06  B0.5 Ib                        
BAT99-13           74.4209976 -66.5451660 S08  WN10                           Sk -66 40
N11-115            74.4302521 -66.4105606 E06  B1 III                         
HDE268743          74.4342117 -66.4611893 W77  O6:nn                          
N11-117            74.4352493 -66.3997726 E06  B1 Vn                          
N11-099            74.4445419 -66.4743881 E06  B0.2 V Binary (SB1)            
Sk -69 52          74.4537048 -69.8729172 F88  B2 Ia                          
N11-056            74.4543762 -66.4048386 E06  B1e                            
Sk -69 51          74.4607468 -69.6858902 J01  B1.5 I:                        
Sk -70 22          74.5141220 -70.6086349 C86  B1 Iab                         
Sk -70 25          74.5824585 -70.2179413 J01  B1.5 II                        
Sk -67 28          74.6634979 -67.1885300 F88  B0.7 Ia                        
Sk -65 3           74.6870804 -65.0605621 C86  B2 III                         
Sk -65 5           74.6987534 -65.6399460 C86  O9 II                          
Sk -67 29          74.7120438 -67.4445877 C86  B0 III                         
BAT99-14           74.7363358 -68.8030548 F03  WN4o(+OB)                      Sk -68 19
Sk -65 7           74.7833328 -65.5836105 C86  B2 III                         
Sk -65 9           74.8009567 -65.8091125 C86  B0 Ib                          
BI 50              74.8133316 -65.8897476 M95  B1 Ib                          
BI 53              74.8157120 -69.7153549 M95  B0 III                         
Sk -65 11          74.8476257 -65.6977539 F88  B8 Ia                          
Sk -65 12          74.8668365 -65.6049728 C86  B1 Iab                         
Sk -66 47          74.8873749 -66.2312241 C86  O9 III                         
Sk -65 14          74.9038773 -65.5649490 C86  B0 II                          
Sk -65 15          74.9223785 -65.8305511 F88  BC2 Iab                        
Sk -65 16          74.9344559 -65.7487717 F88  B1.5 Ia                        
BAT99-15           74.9647903 -67.9487228 F03  WN4b                           Sk -67 32
Sk -65 17a         75.0015869 -65.8051682 M95  O7 III                         
Sk -65 18          75.0270004 -65.7608337 F88  B9 Ia                          
Sk -70 33          75.1363297 -70.4188843 M95  O9.5 III                       
Sk -68 23a         75.2011642 -68.0995865 M95  B1 III                         
Sk -68 23          75.2061234 -68.1193619 J01  B3 I                           
Sk -70 36          75.2873306 -70.5653610 C86  B0 n                           
Sk -65 20          75.3062057 -65.8109512 F88  B3 Ia                          
Sk -65 21          75.3428345 -65.6966400 W02  O9.7 Iab                       
Sk -67 36          75.3441238 -67.3361130 F88  B2.5 Ia                        
Sk -65 22          75.3461685 -65.8758926 W02  O6 Iaf+                        
RXJ0501.6-7034     75.3495407 -70.5595016 R05  B0 Ve  XRB                     
Sk -68 26          75.3843307 -68.1785812 F88  BC2 Ia                         
Sk -65 23          75.4754562 -65.6283875 C86  B2 III                         
Sk -67 37          75.5051270 -67.5343018 C86  O9.  II                        
