2dFS0284                                                       9.969625 -74.01797 E04      B1-3V
2dFS0285                                                       9.970333 -73.53000 E04      B1-5III
2dFS0286                                                       9.981208 -73.20581 E04      B3V
2dFS0287                                                       9.982875 -72.78619 E04      B0-5V
2dFS0288                                                       9.990708 -73.68014 E04      A7II
2dFS0289                                                       9.994917 -73.58847 E04      B1-2IV
2dFS0290                                                       9.996875 -73.24367 E04      B1-2III
2dFS0291                                                      10.007208 -73.05200 E04      A5II
2dFS0292                                                      10.007333 -72.25561 E04      F0
2dFS0293                                                      10.019208 -72.33319 E04      A0II
2dFS0294                                                      10.023667 -73.25011 E04      B3-5IV
2dFS0295                                                      10.024625 -73.44386 E04      B0-5V
2dFS0296                                                      10.025208 -73.85131 E04      B8III
2dFS0297                                                      10.028125 -73.71764 E04      B3V
2dFS0298                                                      10.030917 -73.05039 E04      B0-5IVe?
2dFS0299                                                      10.035458 -73.30900 E04      B1-3IV
2dFS0300                                                      10.037958 -73.64939 E04      B0-5IV
2dFS0301                                                      10.040000 -73.28931 E04      B0-5V
2dFS0302                                                      10.046167 -73.36333 E04      A2II
2dFS0303                                                      10.053375 -73.17133 E04      B0-5V
2dFS0304                                                      10.055125 -73.62400 E04      F0
2dFS0305                                                      10.059250 -73.61692 E04      F0
2dFS0306                                                      10.064417 -73.08594 E04      B0-5IIe
2dFS0307                                                      10.071417 -72.47314 E04      B3-5II
2dFS0308                                                      10.074042 -73.74567 E04      B1-3V
2dFS0309                                                      10.080417 -73.06736 E04      B1-5III
2dFS0310                                                      10.080833 -72.36644 E04      B1-5IV
2dFS0311                                                      10.081000 -73.59439 E04      B0-5III
2dFS0312                                                      10.097208 -73.36625 E04      A2II
2dFS0313                                                      10.097500 -73.11103 E04      B1-5II
2dFS0314                                                      10.099375 -73.91936 E04      B1-5II
2dFS0315                                                      10.102000 -72.62533 E04      A3III
2dFS0316                                                      10.103958 -73.73772 E04      B5III
2dFS0317                                                      10.107542 -73.49225 E04      F0
2dFS0318                                                      10.109000 -73.93706 E04      B0-5V
2dFS0319                                                      10.113958 -72.83328 E04      A2II
2dFS0320                                                      10.118792 -73.63264 E04      B1-5IV
2dFS0321                                                      10.129458 -73.66714 E04      B0-5IV
2dFS0322                                                      10.130083 -73.37489 E04      B9II
2dFS0323                                                      10.132458 -73.65875 E04      B0-5V
2dFS0324                                                      10.147625 -73.67814 E04      B1-5V
2dFS0325                                                      10.150292 -73.70228 E04      A3III
2dFS0326                                                      10.158292 -73.41942 E04      B1-5III
2dFS0327                                                      10.165208 -73.62347 E04      B3IV
2dFS0328                                                      10.165500 -73.73008 E04      B1-5V
2dFS0329                                                      10.167125 -73.37214 E04      B3-5IV
2dFS0330                                                      10.175125 -73.87725 E04      B1-5III
2dFS0331                                                      10.178583 -73.80886 E04      A3II
2dFS0332                                                      10.185500 -73.10494 E04      B2.5IV
2dFS0333                                                      10.185708 -73.06150 E04      B1-5II
2dFS0334                                                      10.187083 -73.36269 E04      B1-5IV
2dFS0335                                                      10.190625 -73.85103 E04      A0II
2dFS0336                                                      10.192542 -73.71703 E04      G2
2dFS0337                                                      10.200167 -73.27511 E04      F8
2dFS0338                                                      10.206250 -72.94103 E04      A0Ib
2dFS0339                                                      10.211208 -73.15514 E04      F0
2dFS0340                                                      10.219250 -73.36958 E04      B1-5III
2dFS0341                                                      10.224042 -73.34814 E04      G2
2dFS0342                                                      10.226250 -72.74878 E04      A7II
2dFS0343                                                      10.230667 -74.04700 E04      A0II
2dFS0344                                                      10.234250 -73.12197 E04      B9II
2dFS0345                                                      10.237125 -73.33744 E04      B0-5IV
2dFS0346                                                      10.237625 -73.85764 E04      A3II
2dFS0347                                                      10.256833 -73.75339 E04      F0
2dFS0348                                                      10.278292 -73.46647 E04      B1-3IIIe
2dFS0349                                                      10.278375 -72.81522 E04      A7II
2dFS0350                                                      10.281750 -73.31117 E04      A2II
2dFS0351                                                      10.284125 -73.40583 E04      B3-5IV
2dFS0352                                                      10.285417 -73.97753 E04      B1-5V
2dFS0353                                                      10.288917 -73.42161 E04      A7II
2dFS0354                                                      10.295375 -73.38122 E04      A3II
2dFS0355                                                      10.297958 -73.68833 E04      B1-5IIIe
2dFS0356                                                      10.299083 -72.16819 E04      A3II
2dFS0357                                                      10.305375 -73.64664 E04      B0-5V
2dFS0358                                                      10.308833 -74.14667 E04      B0-3V
2dFS0359                                                      10.308958 -73.42589 E04      B0-5IV
2dFS0360                                                      10.314292 -73.63853 E04      A0Ib
2dFS0361                                                      10.319542 -73.40011 E04      B1-5IIIe?
2dFS0362                                                      10.321250 -73.60069 E04      B0-5V
2dFS0363                                                      10.328250 -73.20744 E04      B0-5V
2dFS0364                                                      10.333958 -73.58661 E04      B9II
2dFS0365                                                      10.353667 -73.87653 E04      A3Iab
2dFS0366                                                      10.354167 -73.61636 E04      B0-5V
2dFS0367                                                      10.358292 -74.57519 E04      B0-5V
2dFS0368                                                      10.364458 -72.71594 E04      B1-3IV
2dFS0369                                                      10.367292 -72.78472 E04      A2II
2dFS0370                                                      10.369292 -72.96172 E04      A0III
2dFS0371                                                      10.372125 -73.44897 E04      B1-3IV
2dFS0372                                                      10.374750 -73.69519 E04      B0-5V
2dFS0373                                                      10.387958 -73.42578 E04      B0.5V
2dFS0374                                                      10.393417 -74.05742 E04      A2II
2dFS0375                                                      10.394750 -73.43164 E04      B8III
2dFS0376                                                      10.412458 -73.75044 E04      F0
2dFS0377                                                      10.414333 -73.39194 E04      B0-5IV
2dFS0378                                                      10.417458 -73.36950 E04      A7II
2dFS0379                                                      10.423958 -73.62614 E04      B0-5V
2dFS0380                                                      10.425250 -74.16189 E04      B0-5V
2dFS0381                                                      10.432708 -73.03358 E04      F0
2dFS0382                                                      10.450542 -72.69894 E04      A0II
2dFS0383                                                      10.452333 -73.52114 E04      B1-5III
2dFS0384                                                      10.452458 -74.24514 E04      B0.5V
2dFS0385                                                      10.453083 -73.59586 E04      B0-5IV
2dFS0386                                                      10.470667 -73.19150 E04      G2
2dFS0387                                                      10.476958 -73.06511 E04      B0-5IVe
2dFS0388                                                      10.479833 -73.49889 E04      A0III
2dFS0389                                                      10.480125 -73.74450 E04      B1-5IV
2dFS0390                                                      10.480208 -73.66964 E04      G2
2dFS0391                                                      10.480708 -73.14617 E04      B0-5V
2dFS0392                                                      10.480708 -73.43419 E04      B0-5V
2dFS0393                                                      10.484167 -72.47722 E04      B3-5III
2dFS0394                                                      10.492583 -73.10908 E04      A5II
2dFS0395                                                      10.495167 -73.19853 E04      B0-5V
2dFS0396                                                      10.499833 -73.62364 E04      B9II
2dFS0397                                                      10.505917 -73.64314 E04      A7II
2dFS0398                                                      10.511542 -73.71850 E04      B1-3V
2dFS0399                                                      10.518000 -72.87525 E04      B1-3V
2dFS0400                                                      10.519833 -73.35267 E04      A7II
2dFS0401                                                      10.533292 -73.75044 E04      B1-5III
2dFS0402                                                      10.537292 -73.51914 E04      B0-5V
2dFS0403                                                      10.537542 -73.25903 E04      B1-5IV
2dFS0404                                                      10.541417 -73.23219 E04      O8.5V
2dFS0405                                                      10.541625 -74.20569 E04      B0-5V
2dFS0406                                                      10.549792 -73.49792 E04      A0II
2dFS0407                                                      10.551833 -73.38661 E04      B1-5IIe
2dFS0408                                                      10.552625 -73.68908 E04      B1-5III
2dFS0409                                                      10.553750 -73.38375 E04      A0II
2dFS0410                                                      10.557833 -73.75111 E04      G2
