time,flux,err,mask,centroid_y,psf_width_y
5.991453380372208630e+04,9.974859408776192149e-01,2.911169641655227125e-04,0.000000000000000000e+00,2.523236825706336717e+01,1.171104342085106609e+00
5.991453392338444974e+04,9.974635582586730553e-01,2.911106122604397990e-04,0.000000000000000000e+00,2.523274643682891138e+01,1.187315018901039076e+00
5.991453404304681317e+04,9.982147470084927754e-01,2.912308625419602346e-04,0.000000000000000000e+00,2.524169541443977494e+01,1.184231423359151547e+00
5.991453416270916932e+04,9.978264627726988190e-01,2.911751276885367356e-04,0.000000000000000000e+00,2.523006103252503252e+01,1.183627481250955293e+00
5.991453428237152548e+04,9.978191294360070351e-01,2.912183455525321611e-04,0.000000000000000000e+00,2.523073044853082791e+01,1.190046279327636070e+00
5.991453440203388891e+04,9.976613670449159255e-01,2.911640118546416234e-04,0.000000000000000000e+00,2.522624316448978377e+01,1.193073621627457337e+00
5.991453452169624506e+04,9.969465261378293031e-01,2.910611981753095608e-04,0.000000000000000000e+00,2.522545634724483676e+01,1.186950036634279781e+00
5.991453464135860850e+04,9.978543932202728062e-01,2.911672500807623585e-04,0.000000000000000000e+00,2.522433792492198279e+01,1.183076368234695197e+00
5.991453476102096465e+04,9.976880221295868489e-01,2.911679973637132639e-04,0.000000000000000000e+00,2.522927843656148283e+01,1.184543199461614460e+00
5.991453488068332081e+04,9.978128801577826890e-01,2.912341319048705138e-04,0.000000000000000000e+00,2.522656722456573775e+01,1.186524390119077843e+00
5.991453500034569151e+04,9.970943406982776258e-01,2.911079033597426717e-04,0.000000000000000000e+00,2.522057951125258768e+01,1.177087423101047303e+00
5.991453512000804039e+04,9.972608393252540004e-01,2.911279554522592681e-04,0.000000000000000000e+00,2.521168839065928324e+01,1.185482218975271174e+00
5.991453523967040383e+04,9.971259696982701648e-01,2.911204203491707995e-04,0.000000000000000000e+00,2.522173333446207266e+01,1.173704849656708626e+00
5.991453535933276726e+04,9.976795409662824188e-01,2.911645100432756327e-04,0.000000000000000000e+00,2.523623690510184048e+01,1.191576382156334768e+00
5.991453547899511614e+04,9.971489262305227586e-01,2.911535187565390229e-04,0.000000000000000000e+00,2.521362347509069934e+01,1.184171134349468524e+00
5.991453559865748684e+04,9.973909901094968333e-01,2.911304463954290434e-04,0.000000000000000000e+00,2.523235944999972702e+01,1.184969980540019341e+00
5.991453571831983572e+04,9.974323118675514355e-01,2.911725121982085122e-04,0.000000000000000000e+00,2.522331722162514822e+01,1.173932459325843114e+00
5.991453583798219915e+04,9.972167755369579778e-01,2.911683087316094655e-04,0.000000000000000000e+00,2.521650162410160689e+01,1.193630474670531516e+00
5.991453595764456259e+04,9.979613961678277523e-01,2.912304577636951291e-04,0.000000000000000000e+00,2.522456714504583175e+01,1.182024900400805878e+00
5.991453607730691147e+04,9.971824045067243514e-01,2.911449561393929372e-04,0.000000000000000000e+00,2.522474040301784726e+01,1.187173972891333085e+00
5.991453619696928217e+04,9.971634015994708111e-01,2.911517750963201531e-04,0.000000000000000000e+00,2.521985982798971548e+01,1.193076280304063985e+00
5.991453631663163833e+04,9.975839525167087274e-01,2.911597772512530325e-04,0.000000000000000000e+00,2.523200963586951673e+01,1.182824459662952465e+00
5.991453643629399448e+04,9.976510366054022194e-01,2.911540792187521749e-04,0.000000000000000000e+00,2.523373850816673780e+01,1.188610702419784282e+00
5.991453655595635792e+04,9.974378596961791521e-01,2.911635759395869738e-04,0.000000000000000000e+00,2.523058558578091137e+01,1.174766281539034285e+00
5.991453667561871407e+04,9.974612626054476516e-01,2.911605868077832434e-04,0.000000000000000000e+00,2.523594270761532243e+01,1.188588210029863035e+00
5.991453679528107750e+04,9.978833439581691334e-01,2.911939965830477226e-04,0.000000000000000000e+00,2.521971588811359766e+01,1.186658202890903624e+00
5.991453691494343366e+04,9.974749089885089903e-01,2.910994652897550884e-04,0.000000000000000000e+00,2.522775564996998554e+01,1.192043005186083304e+00
5.991453703460578981e+04,9.978043989944782588e-01,2.911650705054887847e-04,0.000000000000000000e+00,2.522514885293477604e+01,1.179390499372672929e+00
5.991453715426815324e+04,9.975835699078378083e-01,2.911456100119750473e-04,0.000000000000000000e+00,2.522919719184960030e+01,1.190318976006854657e+00
5.991453727393050940e+04,9.972972509361323068e-01,2.911156564203585466e-04,0.000000000000000000e+00,2.522588001913041467e+01,1.175667691399624903e+00
5.991453739359287283e+04,9.976059525267839678e-01,2.911218837782830120e-04,0.000000000000000000e+00,2.522580183051888270e+01,1.181427156506333231e+00
5.991453751325522899e+04,9.984317500064245898e-01,2.912833280324734000e-04,0.000000000000000000e+00,2.522366513126495491e+01,1.175749344539926744e+00
5.991453763291759242e+04,9.979222425267081364e-01,2.912079147280087574e-04,0.000000000000000000e+00,2.522696304101655684e+01,1.182721114525288719e+00
5.991453775257994857e+04,9.976511641416925258e-01,2.911580647278238154e-04,0.000000000000000000e+00,2.522437906330958413e+01,1.185412778793411226e+00
5.991453787224230473e+04,9.982781325447679377e-01,2.911935606679929645e-04,0.000000000000000000e+00,2.522481072363678578e+01,1.186453917882675624e+00
5.991453799190466816e+04,9.982847006637179943e-01,2.912794670705602619e-04,0.000000000000000000e+00,2.523343241852179020e+01,1.176402046848409100e+00
5.991453811156702432e+04,9.978123700126215745e-01,2.911946193188401258e-04,0.000000000000000000e+00,2.523261740122951835e+01,1.184641570649949571e+00
