wavelength_um,counts
1.048896503448486328e+01,1.799720703125000000e+04
1.051002788543701172e+01,1.762836718750000000e+04
1.053102874755859375e+01,1.709854296875000000e+04
1.055196762084960938e+01,1.676782812500000000e+04
1.057284450531005859e+01,1.634241796875000000e+04
1.059366130828857422e+01,1.611692187500000000e+04
1.061441707611083984e+01,1.553378125000000000e+04
1.063511466979980469e+01,1.540957031250000000e+04
1.065575313568115234e+01,1.498734082031250000e+04
1.067633247375488281e+01,1.474714453125000000e+04
1.069685554504394531e+01,1.434563476562500000e+04
1.071732139587402344e+01,1.417337304687500000e+04
1.073773193359375000e+01,1.366966992187500000e+04
1.075808620452880859e+01,1.345319921875000000e+04
1.077838611602783203e+01,1.318439941406250000e+04
1.079863262176513672e+01,1.272951757812500000e+04
1.081882476806640625e+01,1.252792968750000000e+04
1.083896446228027344e+01,1.224511718750000000e+04
1.085905265808105469e+01,1.208743359375000000e+04
1.087908935546875000e+01,1.193223730468750000e+04
1.089907455444335938e+01,1.160494531250000000e+04
1.091901111602783203e+01,1.132541601562500000e+04
1.093889617919921875e+01,1.122703027343750000e+04
1.095873260498046875e+01,1.102767382812500000e+04
1.097851943969726562e+01,1.072821875000000000e+04
1.099825763702392578e+01,1.055981445312500000e+04
1.101794624328613281e+01,1.026033398437500000e+04
1.103758525848388672e+01,9.992543945312500000e+03
1.105717658996582031e+01,9.907123046875000000e+03
1.107671833038330078e+01,9.569103515625000000e+03
1.109621238708496094e+01,9.438462890625000000e+03
1.111565780639648438e+01,9.100736328125000000e+03
1.113505554199218750e+01,9.227541015625000000e+03
1.115440559387207031e+01,8.926261718750000000e+03
1.117370796203613281e+01,8.736269531250000000e+03
1.119296264648437500e+01,8.718062500000000000e+03
1.121216964721679688e+01,8.449356445312500000e+03
1.123132991790771484e+01,8.399330078125000000e+03
1.125044345855712891e+01,8.276309570312500000e+03
1.126951026916503906e+01,8.107028320312500000e+03
1.128853034973144531e+01,8.057252929687500000e+03
1.130750370025634766e+01,7.770048828125000000e+03
1.132643127441406250e+01,7.888361328125000000e+03
1.134531211853027344e+01,7.752684570312500000e+03
1.136414813995361328e+01,7.568184570312500000e+03
1.138293743133544922e+01,7.470958984375000000e+03
1.140168190002441406e+01,7.395582519531250000e+03
1.142038059234619141e+01,7.363193359375000000e+03
1.143903446197509766e+01,7.253510742187500000e+03
1.145764350891113281e+01,7.144895507812500000e+03
1.147620773315429688e+01,6.958491210937500000e+03
1.149472713470458984e+01,6.803138183593750000e+03
1.151320266723632812e+01,6.957703613281250000e+03
1.153163337707519531e+01,6.502224121093750000e+03
1.155002021789550781e+01,6.567687500000000000e+03
1.156836318969726562e+01,6.349937011718750000e+03
1.158666229248046875e+01,6.323515136718750000e+03
1.160491752624511719e+01,6.229004882812500000e+03
1.162312984466552734e+01,6.156208984375000000e+03
1.164129924774169922e+01,5.964221679687500000e+03
1.165942573547363281e+01,5.930734375000000000e+03
1.167750930786132812e+01,5.759131835937500000e+03
1.169554996490478516e+01,5.693515136718750000e+03
1.171354866027832031e+01,5.564303222656250000e+03
1.173150444030761719e+01,5.478356445312500000e+03
1.174941825866699219e+01,5.306614746093750000e+03
1.176729106903076172e+01,5.315475097656250000e+03
1.178512096405029297e+01,5.124342773437500000e+03
1.180290985107421875e+01,4.953277832031250000e+03
1.182065773010253906e+01,4.781903320312500000e+03
1.183836364746093750e+01,4.696879882812500000e+03
1.185602951049804688e+01,4.716248046875000000e+03
1.187365341186523438e+01,4.767223632812500000e+03
1.189123725891113281e+01,4.525963867187500000e+03
1.190878105163574219e+01,4.442152343750000000e+03
1.192628383636474609e+01,4.384294921875000000e+03
1.194374752044677734e+01,4.323647949218750000e+03
1.196117019653320312e+01,4.152240234375000000e+03
1.197855377197265625e+01,4.240081054687500000e+03
1.199589824676513672e+01,4.168615234375000000e+03
1.201320266723632812e+01,4.033782958984375000e+03
1.203046798706054688e+01,3.819146728515625000e+03
