planet,transit,bjd_tdb_minus_2450000,agol2021_bjd_tdb_minus_2450000,difference_days,uncertainty_days
1.0,2621.0,11217.54769477751,11217.555063464006,-0.007464316103323654,0.00044170844796560235
1.0,2622.0,11219.058518574488,11219.065937191383,-0.007509074945573957,0.00044032367721935373
1.0,2623.0,11220.569244439674,11220.576810918757,-0.007652479509943078,0.0004405655914840036
1.0,2624.0,11222.079853257626,11222.087684646132,-0.007919773817775422,0.0004473635133970281
1.0,2625.0,11223.590641019222,11223.59855837351,-0.008005753748875577,0.00045000848156729446
1.0,2626.0,11225.102081577461,11225.109432100884,-0.007444916699114401,0.00043926558222348247
1.0,2627.0,11226.612865155217,11226.620305828259,-0.0075399182042019675,0.00044322478671033136
1.0,2628.0,11228.123525897196,11228.131179555636,-0.007757426352782204,0.00045080509505913074
1.0,2629.0,11229.634401562456,11229.64205328301,-0.007748759344394784,0.0004493570640243925
1.0,2630.0,11231.14522851312,11231.152927010386,-0.007790037528138782,0.00044790364893887305
1.0,2631.0,11232.655997197517,11232.66380073776,-0.007890092153957085,0.0004466978706776409
1.0,2632.0,11234.166613896483,11234.174674465135,-0.008150604738602851,0.00045357897177346525
1.0,2633.0,11235.67739483759,11235.685548192512,-0.008244376576840295,0.00045687604568692483
1.0,2634.0,11237.188849585847,11237.196421919887,-0.007669524649372761,0.0004466128640680118
1.0,2635.0,11238.699644717724,11238.707295647262,-0.007752379407520493,0.0004500554760535896
1.0,2636.0,11240.210295327615,11240.218169374639,-0.007979539699135785,0.00045753457657980213
1.0,2637.0,11241.721108989967,11241.729043102014,-0.008032732306674006,0.0004572107445116938
1.0,2638.0,11243.231933390562,11243.239916829389,-0.008076424369392043,0.0004557193479496886
1.0,2639.0,11244.742755351703,11244.750790556765,-0.008123075192543183,0.00045306126565031283
1.0,2640.0,11246.253382118826,11246.26166428414,-0.008374309328701202,0.0004599939693426511
1.0,2641.0,11247.764155526474,11247.772538011515,-0.008476583704577934,0.0004639258096032744
1.0,2642.0,11249.275618132411,11249.28341173889,-0.00789376734292091,0.0004542008328729761
1.0,2643.0,11250.786420036718,11250.794285466265,-0.00796891534491806,0.0004570703216679181
1.0,2644.0,11252.297054464008,11252.305159193642,-0.008211712069169153,0.0004643462848867366
1.0,2645.0,11253.807814948133,11253.816032921017,-0.008318413690631132,0.0004651549167626835
1.0,2646.0,11255.31863830014,11255.326906648392,-0.008362924907487468,0.0004636760292476956
1.0,2647.0,11256.829518577022,11256.837780375768,-0.008351385663445399,0.00045956921240088025
1.0,2648.0,11258.340161427379,11258.348654103143,-0.008587438936046965,0.00046656047637009103
1.0,2649.0,11259.850924467837,11259.859527830518,-0.008700763582055515,0.00047110674812699855
1.0,2650.0,11261.362376590387,11261.370401557893,-0.008127848351250577,0.000461869234233934
1.0,2651.0,11262.873186968474,11262.881275285268,-0.008193777386622969,0.00046418096399291914
1.0,2652.0,11264.383808576451,11264.392149012645,-0.00844859959306632,0.00047117928500530176
1.0,2653.0,11265.89452151132,11265.90302274002,-0.008603327669334249,0.0004730289742858476
1.0,2654.0,11267.40534831148,11267.413896467395,-0.008644511176498781,0.00047166135566015645
1.0,2655.0,11268.916289581925,11268.924770194772,-0.008572204150368634,0.0004661974934655182
1.0,2656.0,11270.426941555535,11270.435643922146,-0.008799841985819512,0.0004731764707351338
1.0,2657.0,11271.937695752382,11271.946517649521,-0.008922868560148345,0.00047833282131759937
1.0,2658.0,11273.449129177054,11273.457391376898,-0.008367512113636622,0.0004695489405260948
1.0,2659.0,11274.959945698072,11274.968265104273,-0.008426412480275758,0.0004712632095944241
1.0,2660.0,11276.470560624683,11276.479138831648,-0.00868731174750792,0.0004779518543523423
1.0,2661.0,11277.981233337854,11277.990012559023,-0.008882722007456323,0.0004807428220065282
1.0,2662.0,11279.492055701345,11279.500886286398,-0.008928464653763513,0.0004795154605000144
1.0,2663.0,11281.003062112428,11281.011760013775,-0.008791820243004622,0.0004728644156919593
1.0,2664.0,11282.513727056767,11282.52263374115,-0.009006957167002838,0.00047980076359644867
1.0,2665.0,11284.024470557226,11284.033507468524,-0.009141288871433062,0.0004854879150403812
1.0,2666.0,11285.5358788798,11285.544381195901,-0.008609801832335506,0.00047714241177024475
1.0,2667.0,11287.046701157935,11287.055254923276,-0.008661925816340954,0.0004782750575182341
1.0,2668.0,11288.557303333377,11288.566128650651,-0.00893477507179341,0.0004845546184003207
1.0,2669.0,11290.067943542652,11290.077002378028,-0.009163511960196047,0.00048819466324174734
1.0,2670.0,11291.578765084972,11291.587876105403,-0.00921027411823161,0.0004871989760679521
