source_row,time,x,y,energy_ev,pi,ccd_id,status
10972,255837408.4343749,2394.029541015625,5355.17431640625,1513.069580078125,104,7,0
10977,255837408.5164549,3914.498046875,3768.585693359375,1349.482421875,93,2,0
10979,255837408.59853488,4177.90283203125,3097.86962890625,797.9805908203125,55,0,0
10985,255837411.63434508,2671.83447265625,4204.19384765625,2684.06494140625,184,6,0
10986,255837411.675395,2116.152099609375,5520.6181640625,6079.623046875,417,7,0
11000,255837411.75747502,3849.916748046875,3115.45166015625,6548.2685546875,449,2,0
11001,255837411.75747502,3633.186767578125,3853.473388671875,1978.3995361328125,136,2,0
11002,255837411.79851502,4764.98193359375,4414.64794921875,2664.3310546875,183,1,0
11004,255837411.79851502,4996.12353515625,3818.192138671875,3565.302734375,245,1,0
11006,255837411.83954507,4175.25048828125,3247.079833984375,5612.7685546875,385,0,0
11007,255837411.83954507,4516.42333984375,3637.364501953125,596.61474609375,41,0,0
11008,255837414.8753453,2172.786865234375,3863.528564453125,5898.75390625,405,6,0
11015,255837414.91640517,2740.246337890625,5052.10498046875,1130.300048828125,78,7,0
11023,255837414.99848518,3958.038330078125,3588.414306640625,4304.03369140625,295,2,0
11024,255837414.99848518,3460.954345703125,4037.671875,3901.290283203125,268,2,0
11025,255837415.03952518,4469.79296875,4351.07568359375,4246.873046875,291,1,0
11028,255837418.11636537,2314.775634765625,3642.595703125,5768.62451171875,396,6,0
11035,255837418.15740538,2474.26904296875,5300.57470703125,1950.3907470703125,134,7,0
11043,255837418.23948538,3698.508544921875,3128.409423828125,1296.0283203125,89,2,0
11044,255837418.23948538,2923.97216796875,3542.459716796875,3855.989990234375,265,2,0
11046,255837418.23948538,3816.697998046875,3844.128173828125,2708.93603515625,186,2,0
11049,255837421.35737556,2257.86865234375,4087.5947265625,863.6001586914062,60,6,0
11062,255837421.43945557,3697.505126953125,5147.556640625,5778.4423828125,396,3,0
11063,255837421.43945557,3517.615966796875,4911.30615234375,4672.1982421875,321,3,0
11065,255837421.43945557,4012.982177734375,4332.32666015625,6105.029296875,419,3,0
11069,255837421.52155548,5088.34912109375,4389.13525390625,647.7559814453125,45,1,0
11072,255837424.59839565,1886.915771484375,3549.167724609375,2709.202880859375,186,6,0
