time,flux,error,mask,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9
60271.85264931,1.001120054,8.824650e-4,0,0,0,0,0,0,0,0,0,0
60271.85310996,1.000306695,8.829707e-4,0,0,0,0,0,0,0,0,0,0
60271.85357061,1.001747016,8.827149e-4,0,0,0,0,0,0,0,0,0,0
60271.85403126,1.001112536,8.823819e-4,0,0,0,0,0,0,0,0,0,0
60271.85449190,0.999690130,8.828673e-4,0,0,0,0,0,0,0,0,0,0
60271.85495255,1.001853763,8.827246e-4,0,0,0,0,0,0,0,0,0,0
60271.85541320,1.000596512,8.821775e-4,0,0,0,0,0,0,0,0,0,0
60271.85587384,1.000056660,8.822981e-4,0,0,0,0,0,0,0,0,0,0
60271.85633449,1.001368933,8.833956e-4,0,0,0,0,0,0,0,0,0,0
60271.85679514,1.000957630,8.822185e-4,0,0,0,0,0,0,0,0,0,0
60271.85725579,0.999543042,8.824600e-4,0,0,0,0,0,0,0,0,0,0
60271.85771643,0.998152069,8.840719e-4,0,0,0,0,0,0,0,0,0,0
60271.85817708,1.000535828,8.824483e-4,0,0,0,0,0,0,0,0,0,0
60271.85863773,1.002483495,8.826007e-4,0,0,0,0,0,0,0,0,0,0
60271.85909837,1.000791831,8.823492e-4,0,0,0,0,0,0,0,0,0,0
60271.85955902,1.000838493,8.828797e-4,0,0,0,0,0,0,0,0,0,0
60271.86001967,1.000033804,8.826182e-4,0,0,0,0,0,0,0,0,0,0
60271.86048031,1.001019762,8.825276e-4,0,0,0,0,0,0,0,0,0,0
60271.86094096,1.000545443,8.830923e-4,0,0,0,0,0,0,0,0,0,0
60271.86140161,1.001437488,8.821193e-4,0,0,0,0,0,0,0,0,0,0
60271.86186226,1.002587594,8.825400e-4,0,0,0,0,0,0,0,0,0,0
60271.86232290,1.001211919,8.825119e-4,0,0,0,0,0,0,0,0,0,0
60271.86278355,1.001556906,8.825177e-4,0,0,0,0,0,0,0,0,0,0
60271.86324420,1.000558535,8.825682e-4,0,0,0,0,0,0,0,0,0,0
60271.86370484,1.001581838,8.825873e-4,0,0,0,0,0,0,0,0,0,0
60271.86416549,1.002696559,8.824223e-4,0,0,0,0,0,0,0,0,0,0
60271.86462614,1.001405903,8.827175e-4,0,0,0,0,0,0,0,0,0,0
60271.86508679,1.000062165,8.825065e-4,0,0,0,0,0,0,0,0,0,0
60271.86554743,0.999580495,8.827314e-4,0,0,0,0,0,0,0,0,0,0
60271.86600808,0.999689047,8.827658e-4,0,0,0,0,0,0,0,0,0,0
60271.86646873,1.000199404,8.827112e-4,0,0,0,0,0,0,0,0,0,0
60271.86692937,1.000446798,8.825031e-4,0,0,0,0,0,0,0,0,0,0
60271.86739002,1.001373906,8.824448e-4,0,0,0,0,0,0,0,0,0,0
60271.86785067,1.000601760,8.823565e-4,0,0,0,0,0,0,0,0,0,0
60271.86831131,0.999567896,8.825581e-4,0,0,0,0,0,0,0,0,0,0
60271.86877196,1.000294711,8.824174e-4,0,0,0,0,0,0,0,0,0,0
60271.86923261,1.001097802,8.825469e-4,0,0,0,0,0,0,0,0,0,0
60271.86969326,1.002129914,8.821500e-4,0,0,0,0,0,0,0,0,0,0
60271.87015390,0.999562987,8.824045e-4,0,0,0,0,0,0,0,0,0,0
60271.87061455,1.001435701,8.852022e-4,0,0,0,0,0,0,0,0,0,0
