TITLE="Saturn's icy satellites investigated by Cassini - VIMS. V. Spectrophotometry"
AUTHORS="Gianrico Filacchione, Mauro Ciarniello, Emiliano D’Aversa, Fabrizio Capaccioni, Roger N. Clark, Bonnie J. Buratti, Paul Helfenstein, Katrin Stephan, Christina Plainaki"
JOURNAL="ICARUS, vol XX, pages XX-XX, (2022)"
DOI: XX

ASCII FILE FOR TABLE.2: Mimas photometric parameters.

COLUMN 1: wavelength (nm)
COLUMN 2: a_0
COLUMN 3: a_0 error
COLUMN 4: a_1
COLUMN 5: a_1 error
COLUMN 6: a_2
COLUMN 7: a_2 error
COLUMN 8: chi^2 best-fit value

3530 ; 0.148055 ; 0.00587300 ; -0.00170588 ; 0.000170254 ; 5.80321e-06 ; 1.18482e-06 ; 29.4872 
3613 ; 0.141083 ; 0.00671708 ; -0.00158916 ; 0.000182581 ; 5.10235e-06 ; 1.19879e-06 ; 64.7781 
3699 ; 0.123169 ; 0.00760139 ; -0.00126001 ; 0.000209593 ; 3.10670e-06 ; 1.37910e-06 ; 39.3947 
3784 ; 0.0931164 ; 0.00597939 ; -0.000904607 ; 0.000167527 ; 2.06402e-06 ; 1.12474e-06 ; 19.6275 
3861 ; 0.0761850 ; 0.0236173 ; -0.000800021 ; 0.000655858 ; 2.46969e-06 ; 4.24100e-06 ; 4.96848 
3947 ; 0.0612005 ; 0.00627396 ; -0.000684625 ; 0.000163335 ; 2.29204e-06 ; 1.01952e-06 ; 9.05016 
4029 ; 0.0964293 ; 0.00333442 ; -0.00155819 ; 0.000125804 ; 6.98882e-06 ; 9.52558e-07 ; 79.4474 
4114 ; 0.0379139 ; 0.00566453 ; -0.000437703 ; 0.000149761 ; 1.71570e-06 ; 9.31809e-07 ; 10.5843 
4198 ; 0.0381774 ; 0.00615595 ; -0.000460087 ; 0.000156887 ; 1.71586e-06 ; 9.57374e-07 ; 14.8454 
4278 ; 0.0272350 ; 0.00808886 ; -0.000370636 ; 0.000213204 ; 1.92435e-06 ; 1.36903e-06 ; 4.72155 
4366 ; 0.0240649 ; 0.00595989 ; -0.000559407 ; 0.000168651 ; 4.10491e-06 ; 1.15761e-06 ; 38.1641 
4447 ; 0.0235719 ; 0.00911423 ; -0.000310498 ; 0.000233584 ; 1.32716e-06 ; 1.40138e-06 ; 4.85009 
4533 ; 0.0243647 ; 0.0125463 ; -0.000281013 ; 0.000389846 ; 1.26277e-06 ; 2.64588e-06 ; 4.31743 
4620 ; 0.0331182 ; 0.0125372 ; -0.000413056 ; 0.000312765 ; 1.57933e-06 ; 1.86678e-06 ; 5.86964 
4702 ; 0.0374945 ; 0.0105603 ; -0.000428169 ; 0.000285462 ; 1.51558e-06 ; 1.95259e-06 ; 7.10978 
4786 ; 0.0368585 ; 0.0127449 ; -0.000386270 ; 0.000336186 ; 1.56369e-06 ; 2.20541e-06 ; 9.58456 
4869 ; 0.0458377 ; 0.0127171 ; -0.000555946 ; 0.000355640 ; 2.51469e-06 ; 2.41784e-06 ; 4.60153 
4953 ; 0.0838533 ; 0.0147530 ; -0.00132716 ; 0.000421372 ; 6.50462e-06 ; 3.08108e-06 ; 40.8348 
5040 ; 0.0213654 ; 0.00878035 ; -5.19945e-05 ; 0.000329477 ; 4.96310e-07 ; 2.47628e-06 ; 5.49659 
