
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-comets
> node site/test/dom-cleanliness-browser.mjs http://127.0.0.1:53135

PASS asteroid-2002-ce26 DPR 1: 72839 nodes; retained interaction
PASS dike DPR 1: 72807 nodes; retained interaction
PASS massalia DPR 1: 72807 nodes; retained interaction
PASS proserpina DPR 1: 72807 nodes; retained interaction
PASS polyhymnia DPR 1: 72807 nodes; retained interaction
PASS leukothea DPR 1: 72807 nodes; retained interaction
PASS virginia DPR 1: 72807 nodes; retained interaction
PASS echo DPR 1: 72807 nodes; retained interaction
PASS maja DPR 1: 72807 nodes; retained interaction
PASS juewa DPR 1: 72807 nodes; retained interaction
PASS bertha DPR 1: 72807 nodes; retained interaction
PASS lucia DPR 1: 72807 nodes; retained interaction
PASS brucia DPR 1: 72807 nodes; retained interaction
PASS badenia DPR 1: 72807 nodes; retained interaction
PASS ducrosa DPR 1: 72807 nodes; retained interaction
PASS gyptis DPR 1: 72807 nodes; retained interaction
PASS petrina DPR 1: 72807 nodes; retained interaction
PASS veritas DPR 1: 72807 nodes; retained interaction
PASS gryphia DPR 1: 72807 nodes; retained interaction
PASS selinur DPR 1: 72807 nodes; retained interaction
PASS achilles DPR 1: 72807 nodes; retained interaction
PASS musa DPR 1: 72807 nodes; retained interaction
PASS auravictrix DPR 1: 72807 nodes; retained interaction
PASS transvaalia DPR 1: 72807 nodes; retained interaction
PASS moskva DPR 1: 72807 nodes; retained interaction
PASS kressmannia DPR 1: 72807 nodes; retained interaction
PASS parysatis DPR 1: 72807 nodes; retained interaction
PASS rosalinde DPR 1: 72807 nodes; retained interaction
PASS susi DPR 1: 72807 nodes; retained interaction
PASS hidalgo DPR 1: 72807 nodes; retained interaction
PASS zachia DPR 1: 72807 nodes; retained interaction
PASS piazzia DPR 1: 72807 nodes; retained interaction
PASS tulipa DPR 1: 72807 nodes; retained interaction
PASS reinmuthia DPR 1: 72807 nodes; retained interaction
PASS china DPR 1: 72807 nodes; retained interaction
PASS crimea DPR 1: 72807 nodes; retained interaction
PASS rusthawelia DPR 1: 72807 nodes; retained interaction
PASS schorria DPR 1: 72807 nodes; retained interaction
PASS silvretta DPR 1: 72807 nodes; retained interaction
