time,flux,err,mask,centroid_y,psf_width_y
6.027235613650689629e+04,1.000947535883198514e+00,7.484754520894105773e-04,0.000000000000000000e+00,4.879063073325368549e+01,1.872987411856701812e+00
6.027235659715387737e+04,9.996623483058613147e-01,7.489829640662445118e-04,0.000000000000000000e+00,4.879065242862088070e+01,1.872327417227356072e+00
6.027235705780085118e+04,9.984279600030895319e-01,7.481688607273017256e-04,0.000000000000000000e+00,4.878718867045087393e+01,1.870816084020309411e+00
6.027235751844781771e+04,1.000267082694971110e+00,7.483404640277612103e-04,0.000000000000000000e+00,4.878379445804715431e+01,1.876472541242308001e+00
6.027235797909479152e+04,9.998982083393235243e-01,7.481733542839735579e-04,0.000000000000000000e+00,4.878539446680650826e+01,1.872746347156085900e+00
6.027235843974176532e+04,9.996036203494061967e-01,7.481729233167626380e-04,0.000000000000000000e+00,4.877755632942340469e+01,1.873532647882194313e+00
6.027235890038873185e+04,1.000309632383430847e+00,7.481741484391196077e-04,0.000000000000000000e+00,4.878554151743904299e+01,1.872754013930414851e+00
6.027235936103569838e+04,9.992172562928276491e-01,7.481663631296350640e-04,0.000000000000000000e+00,4.878931059604590104e+01,1.873552248142061893e+00
6.027235982168267947e+04,9.994954705234411207e-01,7.481749260507076843e-04,0.000000000000000000e+00,4.878289291231491376e+01,1.874712482378231293e+00
6.027236028232964600e+04,9.994749179318145327e-01,7.481766739291986074e-04,0.000000000000000000e+00,4.878760973859412786e+01,1.874245270240549655e+00
6.027236074297661253e+04,1.001103114899669855e+00,7.481832152948379765e-04,0.000000000000000000e+00,4.878141304754610985e+01,1.874547652027841238e+00
6.027236120362359361e+04,1.000848740013298155e+00,7.481811126469935106e-04,0.000000000000000000e+00,4.878747082783574740e+01,1.877371297322008692e+00
6.027236166427056014e+04,1.000286607487372192e+00,7.481768869004898175e-04,0.000000000000000000e+00,4.878448539698202069e+01,1.872684315280485290e+00
6.027236212491751940e+04,1.002365644104388442e+00,7.481873807702868126e-04,0.000000000000000000e+00,4.879368325344652391e+01,1.874635070844698603e+00
6.027236258556450048e+04,1.000342484795885944e+00,7.481755861804131403e-04,0.000000000000000000e+00,4.879243549565959626e+01,1.874244084706201852e+00
6.027236304621146701e+04,1.000343205499027333e+00,7.490657885262981151e-04,0.000000000000000000e+00,4.879069363172894214e+01,1.871697355628671344e+00
6.027236350685843354e+04,9.999218731082589740e-01,7.481751606684174929e-04,0.000000000000000000e+00,4.878968391168602636e+01,1.872314283982379202e+00
6.027236396750540735e+04,1.000194514531165924e+00,7.481721683957459883e-04,0.000000000000000000e+00,4.879679402841443192e+01,1.877677779693361471e+00
6.027236442815238115e+04,1.000914076546858489e+00,7.481829087600610313e-04,0.000000000000000000e+00,4.879142880309453290e+01,1.871662612804136927e+00
6.027236488879934768e+04,9.997130421253488386e-01,7.484120806497290314e-04,0.000000000000000000e+00,4.879782511297339909e+01,1.873545544476459268e+00
6.027236534944632149e+04,9.991022276880918707e-01,7.481714548666709708e-04,0.000000000000000000e+00,4.879207484377677417e+01,1.872497367392001566e+00
6.027236581009328802e+04,9.992138917576954826e-01,7.481723852011759341e-04,0.000000000000000000e+00,4.878887790803631219e+01,1.873300426107928907e+00
