YYYY MM DD hh mm ss.sss   BX CSE BY CSE BZ CSE BT CSE X CSE      Y CSE      Z CSE      R CSE      
                           nT     nT     nT     nT    km         km         km         km         
1986 03 08 08 46 30.000   10.8    6.3   -8.2   14.9 -2328592.8  5726098.0  -816318.1  6235135.5
1986 03 08 08 47 30.000   10.9    6.8   -7.9   15.1 -2326975.0  5721828.0  -815702.1  6230529.5
1986 03 08 08 48 30.000   10.9    7.1   -7.8   15.2 -2325357.0  5717558.0  -815086.1  6225923.5
1986 03 08 08 49 30.000   10.9    7.3   -7.8   15.3 -2323739.0  5713288.0  -814470.0  6221317.0
1986 03 08 08 50 30.000   11.0    7.4   -7.6   15.3 -2322121.0  5709018.0  -813854.0  6216710.5
1986 03 08 08 51 30.000   10.9    6.5   -8.1   15.1 -2320502.5  5704748.0  -813237.9  6212104.0
1986 03 08 08 52 30.000   10.7    6.2   -8.4   14.9 -2318884.0  5700478.5  -812621.9  6207498.0
1986 03 08 08 53 30.000   10.9    6.3   -8.2   15.0 -2317265.2  5696208.5  -812005.9  6202891.5
1986 03 08 08 54 30.000   10.9    6.3   -8.0   15.0 -2315646.5  5691939.0  -811389.9  6198285.5
1986 03 08 08 55 30.000   11.0    6.6   -8.1   15.2 -2314027.5  5687669.5  -810773.9  6193679.0
1986 03 08 08 56 30.000   11.1    6.9   -7.9   15.3 -2312408.2  5683400.0  -810157.9  6189072.5
1986 03 08 08 57 30.000   11.3    7.5   -7.7   15.6 -2310789.0  5679130.5  -809541.9  6184467.0
1986 03 08 08 58 30.000   11.2    7.7   -7.8   15.7 -2309169.5  5674861.0  -808925.9  6179860.5
1986 03 08 08 59 30.000   11.1    7.6   -8.0   15.6 -2307550.0  5670591.5  -808310.0  6175254.0
1986 03 08 09 00 30.000   11.0    7.8   -8.1   15.8 -2305930.0  5666322.5  -807694.0  6170648.0
1986 03 08 09 01 30.000   11.1    9.0   -7.9   16.3 -2304310.0  5662053.0  -807078.1  6166041.5
1986 03 08 09 31 07.000   10.9    6.4   -4.4   13.4 -2256257.5  5535640.5  -788843.7  6029617.5
1986 03 08 09 32 07.000   10.9    6.8   -4.3   13.6 -2254632.8  5531373.0  -788228.2  6025011.0
1986 03 08 09 33 07.000   10.6    6.5   -3.4   12.9 -2253007.5  5527105.5  -787612.8  6020404.5
1986 03 08 09 34 07.000   10.5    6.7   -2.7   12.7 -2251382.2  5522838.0  -786997.3  6015798.0
1986 03 08 09 35 07.000   10.3    6.5   -2.4   12.4 -2249756.8  5518571.0  -786381.9  6011192.0
1986 03 08 09 36 08.000   10.4    6.1   -2.4   12.3 -2248104.0  5514232.5  -785756.2  6006508.5
1986 03 08 09 37 08.000   10.7    6.9   -2.5   13.0 -2246478.2  5509965.0  -785140.9  6001902.0
1986 03 08 09 38 08.000   10.6    6.9   -2.2   12.8 -2244852.5  5505698.0  -784525.6  5997295.5
1986 03 08 09 39 08.000   10.3    6.5   -2.2   12.4 -2243226.5  5501431.0  -783910.2  5992689.0
1986 03 08 09 40 08.000   10.3    6.8   -2.1   12.5 -2241600.2  5497164.0  -783295.0  5988082.5
1986 03 08 09 41 08.000   10.6    6.7   -2.3   12.8 -2239973.8  5492897.5  -782679.8  5983476.5
1986 03 08 09 42 08.000   10.3    6.6   -3.3   12.7 -2238347.2  5488630.5  -782064.6  5978870.0
1986 03 08 09 43 08.000   10.3    7.5   -2.3   12.9 -2236720.5  5484364.0  -781449.4  5974264.0
1986 03 08 09 44 08.000   10.4    6.8   -2.0   12.6 -2235093.5  5480097.5  -780834.3  5969657.5
1986 03 08 09 45 08.000   10.6    7.6   -2.1   13.2 -2233466.5  5475831.0  -780219.2  5965051.5
1986 03 08 09 46 09.000   10.7    7.7   -2.4   13.4 -2231812.2  5471493.0  -779593.9  5960368.0
1986 03 08 09 47 09.000   10.9    7.6   -2.8   13.6 -2230184.8  5467227.0  -778978.9  5955762.0
1986 03 08 09 48 09.000   11.0    8.0   -3.0   13.9 -2228557.2  5462960.5  -778363.8  5951155.5
1986 03 08 09 49 09.000   10.8    7.5   -2.7   13.4 -2226929.8  5458694.5  -777748.8  5946550.0
