YYYY MM DD hh mm ss.sss   BX CSE BY CSE BZ CSE BT CSE X CSE      Y CSE      Z CSE      R CSE      
                           nT     nT     nT     nT    km         km         km         km         
1986 03 08 17 25 08.000    1.3   -7.6   -6.8   10.3 -1467920.6  3519713.2  -499021.3  3846062.2
1986 03 08 17 26 09.000   -1.2   -3.1   -2.0    3.9 -1466191.1  3515404.2  -498403.9  3841378.5
1986 03 08 17 27 09.000   -3.4   -2.7   -2.3    4.9 -1464489.8  3511166.2  -497796.7  3836772.0
1986 03 08 17 28 09.000   -2.8   -2.8   -4.6    6.1 -1462788.2  3506928.2  -497189.4  3832165.5
1986 03 08 17 29 09.000    0.6   -2.8  -11.3   11.7 -1461086.5  3502690.2  -496582.2  3827558.8
1986 03 08 17 30 09.000    1.0   -1.7  -13.8   13.9 -1459384.8  3498452.2  -495974.9  3822952.0
1986 03 08 17 31 07.000   14.3    1.2   -6.7   15.8 -1457739.5  3494355.8  -495387.9  3818499.0
1986 03 08 17 32 07.000   13.9   -0.3   -5.9   15.1 -1456037.5  3490118.0  -494780.7  3813892.8
1986 03 08 17 33 07.000   14.1   -0.2   -4.4   14.7 -1454335.2  3485880.2  -494173.4  3809286.0
1986 03 08 17 34 07.000   13.9   -0.8   -4.0   14.4 -1452632.9  3481642.5  -493566.2  3804679.2
1986 03 08 17 35 07.000   15.4    1.7   -2.9   15.8 -1450930.4  3477404.8  -492959.0  3800072.5
1986 03 08 17 36 08.000   12.0   -1.8   -6.0   13.6 -1449199.2  3473096.8  -492341.7  3795389.2
1986 03 08 17 37 08.000   11.2   -3.0   -5.8   13.0 -1447496.4  3468859.2  -491734.5  3790782.5
1986 03 08 17 38 08.000   12.9   -1.6   -6.1   14.4 -1445793.4  3464621.8  -491127.3  3786176.0
1986 03 08 17 39 08.000   10.3   -3.6   -8.0   13.5 -1444090.2  3460384.2  -490520.2  3781569.2
1986 03 08 17 40 08.000    8.2   -4.3   -9.1   12.9 -1442386.9  3456147.0  -489913.1  3776962.5
1986 03 08 17 41 08.000    7.7   -4.0   -9.5   12.9 -1440683.2  3451909.8  -489306.0  3772356.0
1986 03 08 17 42 08.000   13.3    4.3   -0.4   14.0 -1438979.5  3447672.5  -488698.9  3767749.2
1986 03 08 17 43 08.000   12.6   10.7    3.6   16.9 -1437275.6  3443435.5  -488091.8  3763142.5
1986 03 08 17 44 08.000   12.9    9.8    4.3   16.8 -1435571.5  3439198.2  -487484.8  3758536.0
1986 03 08 17 45 08.000   13.2    8.3    3.9   16.1 -1433867.2  3434961.2  -486877.8  3753929.2
1986 03 08 17 46 09.000   13.2    6.5    3.3   15.1 -1432134.5  3430653.8  -486260.7  3749245.8
1986 03 08 17 47 09.000   14.8    5.3    0.9   15.8 -1430429.9  3426416.8  -485653.8  3744639.0
1986 03 08 17 48 09.000   14.3    6.8    1.9   16.0 -1428725.1  3422180.0  -485046.8  3740032.2
1986 03 08 17 49 09.000   14.9    5.8    0.4   16.0 -1427020.2  3417943.2  -484439.9  3735425.8
1986 03 08 17 50 09.000   14.4   12.8   -2.0   19.4 -1425315.2  3413706.5  -483833.0  3730819.0
1986 03 08 17 51 07.000   10.7    9.9    5.0   15.4 -1423667.0  3409611.0  -483246.3  3726365.8
1986 03 08 17 52 07.000   12.0   12.0    4.0   17.4 -1421961.6  3405374.5  -482639.4  3721759.2
1986 03 08 17 53 07.000   11.8   15.2    2.9   19.5 -1420256.2  3401137.8  -482032.6  3717152.2
1986 03 08 17 54 07.000   10.9   10.5    5.9   16.2 -1418550.6  3396901.2  -481425.8  3712545.5
1986 03 08 17 55 07.000   12.3    7.2    5.4   15.3 -1416844.9  3392665.0  -480819.0  3707939.0
1986 03 08 17 56 08.000   11.6    9.4    4.0   15.5 -1415110.6  3388358.0  -480202.1  3703255.5
1986 03 08 17 57 08.000   12.7   13.4    1.3   18.5 -1413404.5  3384121.5  -479595.3  3698648.8
1986 03 08 17 58 08.000   13.2   13.1    3.8   19.0 -1411698.4  3379885.5  -478988.5  3694042.2
1986 03 08 17 59 08.000   13.7   12.2    4.5   18.8 -1409992.0  3375649.2  -478381.8  3689435.5
1986 03 08 18 00 08.000   13.9    7.4    4.5   16.4 -1408285.5  3371413.2  -477775.1  3684829.0
1986 03 08 18 01 08.000   13.9    7.7    4.8   16.6 -1406578.8  3367177.2  -477168.4  3680222.2
1986 03 08 18 02 08.000   13.6   11.6    4.9   18.5 -1404871.9  3362941.5  -476561.8  3675615.8
1986 03 08 18 03 08.000   12.8    3.7    4.8   14.2 -1403164.9  3358705.8  -475955.1  3671009.2
1986 03 08 18 04 08.000   11.3    1.5    5.2   12.6 -1401457.6  3354470.0  -475348.5  3666402.8
1986 03 08 18 05 08.000   10.2    1.1    6.0   11.9 -1399750.4  3350234.5  -474741.9  3661796.2
1986 03 08 18 06 09.000   11.5    4.4    6.1   13.7 -1398014.4  3345928.2  -474125.2  3657113.0
1986 03 08 18 07 09.000   13.4    0.7    2.0   13.6 -1396306.8  3341692.8  -473518.6  3652506.5
1986 03 08 18 08 09.000   15.2    1.1   -0.1   15.3 -1394598.9  3337457.5  -472912.1  3647900.0
1986 03 08 18 09 09.000   15.4    1.4   -1.0   15.5 -1392890.9  3333222.0  -472305.5  3643293.5
1986 03 08 18 10 09.000   15.3    4.6    0.6   16.0 -1391182.8  3328986.8  -471699.0  3638686.8
1986 03 08 18 31 07.000   16.5    2.5   -2.5   16.9 -1355331.9  3240197.8  -458985.2  3542100.2
1986 03 08 18 32 07.000   16.6    2.2   -2.7   17.0 -1353620.1  3235963.8  -458379.1  3537493.8
1986 03 08 18 33 07.000   15.5    1.0   -2.5   15.7 -1351908.4  3231729.8  -457773.0  3532886.8
1986 03 08 18 34 07.000   14.8    0.4   -1.6   14.9 -1350196.4  3227495.8  -457167.0  3528280.2
1986 03 08 18 35 07.000   15.3    2.1   -0.4   15.5 -1348484.2  3223261.8  -456561.0  3523673.2
1986 03 08 18 36 08.000   13.7   -1.3   -4.5   14.5 -1346743.4  3218957.2  -455944.9  3518989.8
1986 03 08 18 37 08.000   14.0    0.8   -1.5   14.1 -1345031.0  3214723.5  -455339.0  3514383.2
1986 03 08 18 38 08.000   12.6   -1.8   -0.3   12.7 -1343318.4  3210489.8  -454733.0  3509776.5
1986 03 08 18 39 08.000   11.6   -3.0   -0.5   12.0 -1341605.5  3206256.0  -454127.1  3505169.8
1986 03 08 18 40 08.000   14.3    1.1    0.8   14.4 -1339892.6  3202022.5  -453521.2  3500563.0
1986 03 08 18 41 08.000   16.2    9.1   -1.1   18.6 -1338179.5  3197789.0  -452915.2  3495956.5
1986 03 08 18 42 08.000   14.5   15.1   -1.6   21.0 -1336466.2  3193555.8  -452309.3  3491350.0
1986 03 08 18 43 08.000   16.7   11.7   -1.8   20.5 -1334752.8  3189322.2  -451703.4  3486743.2
1986 03 08 18 44 08.000   15.8    7.0    0.7   17.3 -1333039.1  3185089.0  -451097.5  3482136.5
1986 03 08 18 45 08.000   15.6    6.5    0.9   16.9 -1331325.4  3180855.8  -450491.6  3477529.8
1986 03 08 18 46 09.000   14.4    5.9    2.4   15.8 -1329583.0  3176552.0  -449875.6  3472846.2
1986 03 08 18 47 09.000   13.3    4.3    3.1   14.3 -1327868.9  3172319.0  -449269.7  3468239.8
1986 03 08 18 48 09.000   10.3   -0.2    2.2   10.5 -1326154.8  3168086.0  -448663.8  3463633.2
1986 03 08 18 49 09.000   13.0    3.0    2.8   13.6 -1324440.4  3163853.0  -448058.0  3459026.5
1986 03 08 18 50 09.000   14.3    8.4    3.4   16.9 -1322725.9  3159620.0  -447452.1  3454419.8
1986 03 08 18 51 07.000   14.1    6.9    3.4   16.1 -1321068.4  3155528.2  -446866.5  3449966.8
1986 03 08 18 52 07.000   12.3    1.4    1.8   12.5 -1319353.6  3151295.2  -446260.6  3445359.8
1986 03 08 18 53 07.000    6.4   -3.8    0.9    7.5 -1317638.6  3147062.5  -445654.8  3440753.2
1986 03 08 18 54 07.000    5.9   -3.4    1.3    6.9 -1315923.5  3142829.5  -445048.9  3436146.2
1986 03 08 18 55 07.000    4.6   -4.6   -1.5    6.7 -1314208.4  3138596.8  -444443.1  3431539.5
1986 03 08 18 56 08.000    8.1   -4.8   -4.1   10.3 -1312464.4  3134293.8  -443827.2  3426856.0
1986 03 08 18 57 08.000   10.5    0.2   -4.3   11.3 -1310748.8  3130061.0  -443221.5  3422249.2
1986 03 08 18 58 08.000   14.8    7.7    0.7   16.6 -1309033.1  3125828.5  -442615.7  3417642.5
1986 03 08 18 59 08.000   15.0    6.8    1.0   16.5 -1307317.2  3121596.0  -442010.0  3413035.8
1986 03 08 19 00 08.000   15.7   10.9   -1.3   19.2 -1305601.1  3117363.8  -441404.2  3408429.2
1986 03 08 19 01 08.000   14.0   12.3    0.3   18.7 -1303885.0  3113131.5  -440798.5  3403822.2
1986 03 08 19 02 08.000   12.8   15.1    1.4   19.8 -1302168.6  3108899.2  -440192.8  3399215.5
1986 03 08 19 03 08.000   15.6    8.6    0.0   17.8 -1300452.1  3104667.2  -439587.2  3394609.0
1986 03 08 19 04 08.000   16.2    8.1   -0.9   18.2 -1298735.5  3100435.2  -438981.6  3390002.8
1986 03 08 19 05 08.000   16.1    8.8   -0.3   18.4 -1297018.6  3096203.2  -438375.9  3385396.0
1986 03 08 19 06 09.000   16.3   10.2   -1.7   19.3 -1295273.0  3091901.0  -437760.2  3380712.5
1986 03 08 19 07 09.000   15.7   10.4   -0.1   18.9 -1293555.9  3087669.2  -437154.7  3376106.0
1986 03 08 19 08 09.000   16.3    7.4   -1.1   17.9 -1291838.5  3083437.5  -436549.2  3371499.5
1986 03 08 19 09 09.000   15.7    3.5   -1.2   16.1 -1290121.0  3079205.8  -435943.7  3366892.8
1986 03 08 19 10 09.000   15.8    3.8   -1.1   16.3 -1288403.4  3074974.2  -435338.2  3362286.2
1986 03 08 19 11 07.000   15.7    2.9   -1.7   16.1 -1286742.8  3070883.8  -434753.0  3357833.2
1986 03 08 19 12 07.000   14.6    1.5   -2.2   14.8 -1285024.6  3066652.2  -434147.6  3353226.8
1986 03 08 19 13 07.000   14.6    2.3   -1.8   14.9 -1283306.4  3062420.8  -433542.3  3348620.0
1986 03 08 19 14 07.000   13.9    1.2   -3.7   14.5 -1281588.0  3058189.5  -432937.0  3344013.2
1986 03 08 19 15 07.000   11.0   -2.5   -5.1   12.4 -1279869.5  3053958.2  -432331.7  3339406.8
1986 03 08 19 16 08.000    9.3   -3.8   -4.8   11.1 -1278122.1  3049656.5  -431716.3  3334723.5
1986 03 08 19 17 08.000   12.3   -0.7   -4.0   13.0 -1276403.2  3045425.2  -431111.1  3330116.8
1986 03 08 19 18 08.000   14.4    1.7   -3.1   14.8 -1274684.2  3041194.0  -430505.8  3325509.8
1986 03 08 19 19 08.000   12.7   -1.1   -7.4   14.8 -1272965.1  3036963.0  -429900.6  3320903.2
1986 03 08 19 20 08.000   14.4    5.9  -11.2   19.2 -1271245.8  3032731.8  -429295.3  3316296.2
1986 03 08 19 21 08.000   12.5    5.2  -11.8   18.0 -1269526.4  3028500.8  -428689.9  3311689.8
1986 03 08 19 22 08.000   14.4    9.4  -11.7   20.8 -1267806.8  3024269.8  -428084.6  3307083.0
1986 03 08 19 23 08.000   11.5   10.5  -11.0   19.1 -1266087.0  3020038.8  -427479.2  3302476.0
1986 03 08 19 24 08.000   10.6   -1.3   -4.4   11.6 -1264367.1  3015808.0  -426873.9  3297869.5
1986 03 08 19 25 08.000    9.0   -2.0   -7.0   11.6 -1262647.1  3011577.2  -426268.6  3293262.8
1986 03 08 19 26 09.000    8.2   -4.4   -6.2   11.2 -1260898.2  3007275.8  -425653.2  3288579.2
1986 03 08 19 27 09.000    7.3   -5.2   -7.5   11.7 -1259177.9  3003045.2  -425047.9  3283972.5
1986 03 08 19 28 09.000    5.8   -5.2   -9.0   11.9 -1257457.4  2998814.5  -424442.7  3279365.8
1986 03 08 19 29 09.000    7.5   -4.5   -9.6   13.0 -1255736.8  2994584.0  -423837.4  3274759.0
1986 03 08 19 30 09.000    8.2   -4.5   -8.3   12.4 -1254015.9  2990353.5  -423232.2  3270152.2
1986 03 08 19 31 18.000   14.2    5.0   -4.1   15.6 -1252036.8  2985488.5  -422536.4  3264854.5
1986 03 08 19 32 18.000   13.0    1.2   -1.7   13.2 -1250315.5  2981258.2  -421931.3  3260247.8
1986 03 08 19 33 18.000   12.2   -0.5   -3.3   12.6 -1248594.2  2977028.0  -421326.3  3255641.0
1986 03 08 19 34 18.000   11.2   -1.5   -4.7   12.2 -1246872.8  2972797.8  -420721.2  3251034.5
1986 03 08 19 35 18.000   12.2    1.3  -11.2   16.6 -1245151.0  2968567.5  -420116.2  3246427.5
1986 03 08 19 36 19.000   12.1    7.4  -14.2   20.1 -1243400.5  2964267.0  -419501.2  3241744.2
1986 03 08 19 37 19.000   11.6    9.5  -14.7   21.0 -1241678.5  2960037.0  -418896.2  3237137.5
1986 03 08 19 38 19.000    9.4    6.0   -8.5   14.0 -1239956.4  2955807.2  -418291.3  3232531.0
1986 03 08 19 39 19.000   10.3    0.3   -2.1   10.5 -1238234.0  2951577.2  -417686.4  3227924.2
1986 03 08 19 40 19.000   12.4    1.3   -5.2   13.5 -1236511.5  2947347.5  -417081.4  3223317.2
1986 03 08 19 41 19.000   11.9    2.5   -1.0   12.2 -1234788.8  2943118.0  -416476.4  3218710.8
1986 03 08 19 42 19.000   11.6    1.5   -1.1   11.8 -1233065.9  2938888.2  -415871.5  3214104.0
1986 03 08 19 43 19.000   13.8    5.5   -5.8   16.0 -1231342.8  2934658.8  -415266.5  3209497.5
1986 03 08 19 44 19.000   10.1    1.2   -2.9   10.6 -1229619.6  2930429.2  -414661.6  3204890.8
1986 03 08 19 45 19.000   11.6    0.9   -2.8   12.0 -1227896.1  2926200.0  -414056.7  3200284.0
1986 03 08 19 46 20.000   12.1    2.9   -8.9   15.2 -1226143.9  2921900.0  -413441.7  3195600.2
1986 03 08 19 47 20.000   12.5    1.2   -5.2   13.6 -1224420.2  2917670.8  -412836.8  3190993.8
1986 03 08 19 48 20.000   11.4    0.7   -7.8   13.8 -1222696.4  2913441.5  -412232.0  3186387.2
1986 03 08 19 49 20.000   10.0   -0.9   -5.1   11.2 -1220972.4  2909212.5  -411627.2  3181780.5
1986 03 08 19 50 20.000    8.8   -1.9   -6.0   10.8 -1219248.2  2904983.2  -411022.4  3177173.8
1986 03 08 20 11 18.000   11.6    0.4   -6.2   13.2 -1183065.5  2816326.0  -398346.3  3080587.0
1986 03 08 20 12 18.000   13.3    4.2   -4.3   14.7 -1181338.0  2812098.2  -397741.9  3075980.2
1986 03 08 20 13 18.000   12.0    2.1   -2.0   12.3 -1179610.4  2807870.5  -397137.6  3071373.5
1986 03 08 20 14 18.000   12.5    9.3   -0.7   15.6 -1177882.5  2803643.0  -396533.2  3066767.0
1986 03 08 20 15 18.000   11.4    5.6    0.9   12.7 -1176154.6  2799415.5  -395929.0  3062160.5
1986 03 08 20 16 19.000   12.3    2.3   -1.7   12.6 -1174397.6  2795117.5  -395314.6  3057477.0
1986 03 08 20 17 19.000   12.7    2.4   -6.5   14.5 -1172669.4  2790890.2  -394710.3  3052870.5
1986 03 08 20 18 19.000   12.3    1.6   -4.1   13.1 -1170940.9  2786663.0  -394106.1  3048263.8
1986 03 08 20 19 19.000   11.7    1.6   -2.4   12.0 -1169212.2  2782435.5  -393501.9  3043657.0
1986 03 08 20 20 19.000   12.9    3.4   -3.7   13.9 -1167483.5  2778208.2  -392897.7  3039050.2
1986 03 08 20 21 19.000   12.6    1.7   -5.7   13.9 -1165754.6  2773981.2  -392293.4  3034444.0
1986 03 08 20 22 19.000   11.4    0.9   -4.7   12.4 -1164025.5  2769754.0  -391689.1  3029837.0
1986 03 08 20 23 19.000   13.3    4.8   -5.6   15.2 -1162296.2  2765526.8  -391084.9  3025230.2
1986 03 08 20 24 19.000   13.4    4.6   -6.3   15.5 -1160566.9  2761299.8  -390480.6  3020623.8
1986 03 08 20 25 19.000   12.2    3.4   -4.6   13.5 -1158837.2  2757072.8  -389876.4  3016017.0
1986 03 08 20 26 20.000   13.0    3.9   -3.4   14.0 -1157078.8  2752775.2  -389262.2  3011333.2
1986 03 08 20 27 20.000   13.3    5.4   -2.8   14.6 -1155348.9  2748548.5  -388658.0  3006726.5
1986 03 08 20 28 20.000   11.5    2.6   -0.7   11.8 -1153618.8  2744321.5  -388053.8  3002119.8
1986 03 08 20 29 20.000   10.2    1.8    0.2   10.4 -1151888.6  2740094.8  -387449.7  2997513.0
1986 03 08 20 30 20.000   11.0    3.8    0.1   11.6 -1150158.2  2735868.0  -386845.7  2992906.0
1986 03 08 20 31 18.000   11.7    4.4   -0.4   12.5 -1148485.4  2731782.2  -386261.8  2988453.0
1986 03 08 20 32 18.000   11.7    2.8   -1.2   12.1 -1146754.6  2727555.8  -385657.8  2983846.2
1986 03 08 20 33 18.000   12.0    3.4   -2.5   12.8 -1145023.8  2723329.2  -385053.9  2979239.5
1986 03 08 20 34 18.000    9.6    4.4    1.4   10.6 -1143292.8  2719102.8  -384450.0  2974632.8
1986 03 08 20 35 18.000    9.7    4.6    2.1   10.9 -1141561.6  2714876.2  -383846.1  2970025.8
1986 03 08 20 36 19.000   10.1    5.8    1.7   11.8 -1139801.5  2710579.5  -383232.2  2965342.5
1986 03 08 20 37 19.000   11.6    5.7    0.0   12.9 -1138070.0  2706353.2  -382628.3  2960735.5
1986 03 08 20 38 19.000   11.7    5.5   -0.9   13.0 -1136338.2  2702127.0  -382024.4  2956129.0
1986 03 08 20 39 19.000   11.5    5.9    0.6   12.9 -1134606.5  2697900.8  -381420.6  2951522.0
1986 03 08 20 40 19.000   11.5    6.7    1.1   13.4 -1132874.5  2693674.8  -380816.8  2946915.2
1986 03 08 20 41 19.000   12.0    6.1    0.8   13.5 -1131142.4  2689448.8  -380212.9  2942308.5
1986 03 08 20 42 19.000   10.8    3.1    0.9   11.3 -1129410.1  2685223.0  -379609.0  2937702.0
1986 03 08 20 43 19.000   10.6    3.7    1.4   11.3 -1127677.6  2680997.0  -379005.2  2933095.0
1986 03 08 20 44 19.000   12.7    5.0   -0.6   13.7 -1125945.0  2676771.2  -378401.3  2928488.2
1986 03 08 20 45 19.000   13.8    3.9   -4.8   15.1 -1124212.2  2672545.5  -377797.5  2923881.8
1986 03 08 20 46 20.000   12.6    2.3   -6.2   14.2 -1122450.4  2668249.5  -377183.7  2919198.2
1986 03 08 20 47 20.000   12.6    2.2   -6.0   14.2 -1120717.2  2664024.0  -376579.9  2914591.5
1986 03 08 20 48 20.000   14.2    4.4   -3.7   15.3 -1118984.1  2659798.5  -375976.2  2909984.8
1986 03 08 20 49 20.000   13.7    5.0   -2.0   14.7 -1117250.6  2655573.0  -375372.5  2905378.0
1986 03 08 20 50 20.000   13.9    8.9   -6.0   17.6 -1115517.1  2651347.5  -374768.8  2900771.2
1986 03 08 20 51 18.000   14.8    7.0   -7.5   18.0 -1113841.2  2647263.0  -374185.3  2896318.2
1986 03 08 20 52 18.000   13.8    9.5   -7.8   18.5 -1112107.5  2643037.8  -373581.8  2891711.5
1986 03 08 20 53 18.000   12.4   11.3  -10.9   20.0 -1110373.6  2638812.5  -372978.2  2887104.8
1986 03 08 20 54 18.000   12.7    8.1   -8.2   17.2 -1108639.5  2634587.2  -372374.8  2882498.0
1986 03 08 20 55 18.000   13.1    3.4   -7.0   15.2 -1106905.2  2630362.2  -371771.3  2877891.2
1986 03 08 20 56 19.000   13.1    3.2   -7.4   15.4 -1105141.9  2626066.8  -371157.7  2873208.0
1986 03 08 20 57 19.000   13.5    3.4   -6.8   15.5 -1103407.2  2621841.8  -370554.3  2868601.2
1986 03 08 20 58 19.000   13.2    3.1   -7.9   15.6 -1101672.5  2617616.8  -369950.8  2863994.2
1986 03 08 20 59 19.000   12.1    2.5   -9.4   15.6 -1099937.6  2613392.0  -369347.3  2859387.8
1986 03 08 21 00 19.000   12.4    2.3   -8.0   14.9 -1098202.5  2609167.2  -368743.9  2854781.0
1986 03 08 21 01 19.000   13.2    4.7   -7.8   16.1 -1096467.2  2604942.5  -368140.3  2850174.2
1986 03 08 21 02 19.000   13.0    4.0   -5.7   14.8 -1094731.8  2600718.0  -367536.8  2845567.5
1986 03 08 21 03 19.000   12.4    3.5   -8.5   15.4 -1092996.0  2596493.5  -366933.2  2840961.0
1986 03 08 21 04 19.000   13.3    3.6   -8.1   15.9 -1091260.2  2592269.0  -366329.7  2836354.0
1986 03 08 21 05 19.000   13.6    5.2   -8.5   16.8 -1089524.2  2588044.5  -365726.2  2831747.2
1986 03 08 21 06 20.000   13.5    4.9   -8.9   16.9 -1087759.1  2583749.8  -365112.7  2827063.8
1986 03 08 21 07 20.000   12.9    3.7   -8.6   15.9 -1086022.9  2579525.5  -364509.2  2822457.2
1986 03 08 21 08 20.000   13.1    4.3   -9.4   16.7 -1084286.4  2575301.2  -363905.7  2817850.5
1986 03 08 21 09 20.000   13.4    5.1   -9.7   17.3 -1082549.9  2571077.0  -363302.3  2813243.8
1986 03 08 21 10 20.000   13.2    4.5   -9.4   16.8 -1080813.1  2566853.0  -362698.9  2808637.0
1986 03 08 21 11 18.000   12.3    3.3   -8.9   15.5 -1079134.1  2562769.5  -362115.7  2804183.8
1986 03 08 21 12 18.000   13.7    4.6   -8.3   16.6 -1077397.1  2558545.5  -361512.4  2799577.0
1986 03 08 21 13 18.000   13.6    4.7   -8.0   16.5 -1075660.0  2554321.5  -360909.2  2794970.2
1986 03 08 21 14 18.000   13.7    5.9   -8.4   17.1 -1073922.6  2550097.5  -360306.0  2790363.2
1986 03 08 21 15 18.000   13.3    5.2   -9.0   16.9 -1072185.1  2545873.5  -359702.8  2785756.5
1986 03 08 21 16 19.000   13.3    9.3  -10.1   19.2 -1070418.6  2541579.2  -359089.6  2781073.0
1986 03 08 21 17 19.000   11.4   12.7  -10.8   20.2 -1068680.9  2537355.5  -358486.4  2776466.2
1986 03 08 21 18 19.000   11.3   10.6  -11.9   19.5 -1066942.9  2533131.8  -357883.2  2771859.2
1986 03 08 21 19 19.000   11.6   11.0  -12.1   20.1 -1065204.8  2528908.2  -357280.1  2767252.5
1986 03 08 21 20 19.000   11.2   11.6  -10.7   19.3 -1063466.5  2524684.5  -356677.0  2762645.8
1986 03 08 21 21 19.000   11.7   10.6  -10.8   19.1 -1061728.1  2520461.0  -356073.8  2758039.0
1986 03 08 21 22 19.000   11.6   10.0  -10.5   18.6 -1059989.5  2516237.8  -355470.7  2753432.2
1986 03 08 21 23 19.000   11.9    8.2  -11.1   18.2 -1058250.8  2512014.2  -354867.5  2748825.5
1986 03 08 21 24 19.000   12.1    8.3   -9.9   17.7 -1056511.8  2507791.0  -354264.4  2744218.5
1986 03 08 21 25 19.000   11.6    8.0  -11.4   18.1 -1054772.8  2503567.8  -353661.3  2739611.8
1986 03 08 21 26 20.000   10.4    6.3  -11.9   17.1 -1053004.5  2499274.2  -353048.1  2734928.5
1986 03 08 21 27 20.000   10.9    6.4  -11.6   17.1 -1051265.1  2495051.2  -352445.1  2730321.8
1986 03 08 21 28 20.000   11.4    4.7  -10.4   16.1 -1049525.6  2490828.2  -351842.0  2725715.0
1986 03 08 21 29 20.000    8.5    3.1  -13.0   15.9 -1047785.9  2486605.2  -351239.0  2721108.2
1986 03 08 21 30 20.000    8.7    7.1  -14.4   18.3 -1046046.1  2482382.5  -350636.0  2716501.5
1986 03 08 21 31 18.000   10.1    8.3  -13.6   18.9 -1044364.1  2478300.5  -350053.2  2712048.5
1986 03 08 21 32 18.000   10.3    9.0  -14.1   19.7 -1042624.0  2474077.8  -349450.4  2707441.8
1986 03 08 21 33 18.000    8.5    9.7  -15.6   20.2 -1040883.8  2469855.0  -348847.5  2702835.0
1986 03 08 21 34 18.000   11.1    7.8  -12.5   18.4 -1039143.3  2465632.5  -348244.7  2698228.5
1986 03 08 21 35 18.000   10.3    6.6  -12.5   17.5 -1037402.8  2461410.0  -347641.9  2693621.8
1986 03 08 21 36 19.000   10.5    6.5  -12.1   17.3 -1035633.0  2457117.0  -347029.1  2688938.2
1986 03 08 21 37 19.000   11.8    5.7  -10.6   16.9 -1033892.1  2452894.8  -346426.3  2684331.8
1986 03 08 21 38 19.000   11.3    7.0  -12.3   18.1 -1032151.1  2448672.5  -345823.6  2679725.2
1986 03 08 21 39 19.000   10.6    4.8   -9.2   14.9 -1030409.9  2444450.2  -345220.8  2675118.5
1986 03 08 21 40 19.000    9.4    0.4   -3.9   10.2 -1028668.6  2440228.0  -344618.1  2670511.8
1986 03 08 21 41 19.000   10.3    0.7   -1.7   10.5 -1026927.1  2436005.8  -344015.4  2665905.0
1986 03 08 21 42 19.000   10.3    1.1   -1.2   10.4 -1025185.4  2431783.8  -343412.6  2661298.5
1986 03 08 21 43 19.000    9.5    1.8   -0.2    9.7 -1023443.5  2427561.8  -342809.9  2656691.8
1986 03 08 21 44 19.000    8.7    1.3    0.1    8.8 -1021701.5  2423339.8  -342207.2  2652085.0
1986 03 08 21 45 19.000    7.1    1.1    0.9    7.2 -1019959.4  2419118.0  -341604.5  2647478.5
1986 03 08 21 46 20.000   10.4    4.3    1.1   11.4 -1018188.0  2414825.8  -340991.7  2642795.0
1986 03 08 21 47 20.000    9.1    0.7   -0.5    9.1 -1016445.5  2410603.8  -340389.0  2638188.0
1986 03 08 21 48 20.000    8.3   -0.2   -0.6    8.3 -1014702.8  2406382.2  -339786.4  2633581.8
1986 03 08 21 49 20.000   10.2    0.1   -5.4   11.6 -1012960.0  2402160.5  -339183.8  2628974.8
1986 03 08 21 50 20.000   11.4    1.0   -7.2   13.5 -1011216.9  2397938.8  -338581.1  2624368.0
1986 03 08 21 51 18.000   10.6    0.9   -7.8   13.2 -1009531.8  2393857.8  -337998.6  2619914.5
1986 03 08 21 52 18.000    9.1   -0.4   -5.1   10.4 -1007788.4  2389636.2  -337396.1  2615307.8
1986 03 08 21 53 18.000    9.7   -0.4   -4.0   10.5 -1006044.9  2385414.8  -336793.5  2610701.0
1986 03 08 21 54 18.000   12.1    4.8   -9.5   16.1 -1004301.1  2381193.2  -336191.0  2606094.0
1986 03 08 21 55 18.000   12.7    5.4   -8.8   16.4 -1002557.2  2376971.8  -335588.5  2601487.2
1986 03 08 21 56 19.000   11.4    2.7   -9.4   15.0 -1000784.1  2372680.0  -334976.0  2596803.5
1986 03 08 21 57 19.000   12.6    3.2   -8.4   15.5  -999039.9  2368458.8  -334373.5  2592196.5
1986 03 08 21 58 19.000   12.2    4.5  -10.5   16.7  -997295.6  2364237.5  -333771.1  2587589.8
1986 03 08 21 59 19.000   10.5    1.5   -9.4   14.2  -995551.1  2360016.5  -333168.7  2582983.0
1986 03 08 22 00 19.000    9.7    1.1   -9.5   13.6  -993806.6  2355795.2  -332566.2  2578376.0
1986 03 08 22 01 19.000    9.1    0.0   -6.7   11.3  -992061.9  2351574.5  -331963.9  2573769.5
1986 03 08 22 02 19.000    8.9    0.0   -7.6   11.7  -990317.1  2347353.8  -331361.5  2569163.0
1986 03 08 22 03 19.000    9.0    0.3   -7.1   11.5  -988572.1  2343133.0  -330759.2  2564556.2
1986 03 08 22 04 19.000    7.9   -0.2   -3.2    8.6  -986827.0  2338912.2  -330156.9  2559949.5
1986 03 08 22 05 19.000    7.5    0.5   -2.1    7.8  -985081.8  2334691.8  -329554.6  2555343.0
1986 03 08 22 06 20.000    8.1    0.4   -3.0    8.6  -983307.2  2330400.8  -328942.2  2550659.5
1986 03 08 22 07 20.000    9.3    1.4   -2.1    9.7  -981561.7  2326180.2  -328340.0  2546053.0
1986 03 08 22 08 20.000    8.3   -0.5   -3.8    9.1  -979815.9  2321960.0  -327737.8  2541446.5
