Wavelength,Flux (Jy),Error (Jy)
4.168583499473559,-4.692117837909846e-05,3.845714170770593e-05
4.173588648692273,-4.7961258918614187e-05,3.831841538435103e-05
4.178593797910986,-4.636554617015492e-05,3.6154435070634894e-05
4.183598947129699,-4.460818569011829e-05,3.545066496896206e-05
4.188604096348413,-3.994087296455169e-05,3.1579710412219594e-05
4.193609245567126,-3.774331016260682e-05,3.0486454715722147e-05
4.198614394785839,-3.213896769954543e-05,2.495169738433058e-05
4.203619544004552,-2.9849950235783714e-05,2.4031868241645115e-05
4.208624693223266,-2.653340363907482e-05,2.1969458755418693e-05
4.2136298424419785,-2.295846364935242e-05,2.053047590074515e-05
4.218634991660692,-2.2744671957952433e-05,1.8323012944238435e-05
4.223640140879405,-1.959322121738026e-05,1.607463189410499e-05
4.228645290098118,-1.809959563740901e-05,1.4563907185063438e-05
4.233650439316832,-2.130594471043465e-05,2.6289389631728772e-05
4.238655588535544,-2.317842878149439e-05,2.4215151449191486e-05
4.243660737754258,-3.3053619970553936e-05,2.6437565450069737e-05
4.248665886972971,-3.4553319622344304e-05,2.8055521356549795e-05
4.253671036191684,-3.984817515199582e-05,3.242553839894768e-05
4.258676185410398,-4.169508705766997e-05,3.3165571213539676e-05
4.263681334629111,-4.38181699906357e-05,3.499834295248608e-05
4.268686483847824,-4.120343860835989e-05,3.388016236676717e-05
4.273691633066537,-3.9909675757159635e-05,3.1816211144822026e-05
4.278696782285251,-3.4787218910055465e-05,2.7925756779265296e-05
4.2837019315039635,-3.18094526264829e-05,2.4738264358214704e-05
4.288707080722677,-2.465081885457487e-05,2.0113231031248998e-05
4.293712229941391,-2.331633716706063e-05,1.835226280916424e-05
4.298717379160103,-2.0089930867454347e-05,1.5713381772626784e-05
4.303722528378817,-1.9421025497251733e-05,1.527737281608158e-05
4.308727677597529,-1.9721043295748513e-05,1.5343637526856612e-05
4.313732826816243,-2.2452590324400935e-05,1.6513505515378458e-05
4.3187379760349565,-2.241104227992716e-05,1.923011548096767e-05
4.323743125253669,-2.77890645088264e-05,2.3135938825614273e-05
4.328748274472383,-2.527442186006022e-05,2.6983908179845996e-05
4.333753423691096,-2.8719505766156953e-05,3.1530579647588843e-05
4.338758572909809,-3.897331599784373e-05,3.35510324525515e-05
4.343763722128522,-4.420065951013558e-05,3.540543232920192e-05
4.348768871347236,-4.498756787664233e-05,3.5638309186976396e-05
4.3537740205659485,-4.416273107908268e-05,3.440459362749879e-05
4.358779169784662,-4.3636643014108654e-05,3.3136059854020566e-05
4.363784319003376,-5.350852001411888e-05,3.1451668887678936e-05
4.368789468222088,-4.050725106427013e-05,2.627637497432349e-05
4.373794617440802,-2.7589577058701746e-05,2.1915341548952355e-05
4.378799766659514,-1.820611420454519e-05,1.6076641098105677e-05
4.383804915878228,-1.663969310421872e-05,1.4032548032052482e-05
4.3888100650969415,-1.3024469473751147e-05,1.1405165985396999e-05
4.393815214315654,-1.2296610203103457e-05,1.1121904874462604e-05
4.398820363534368,-1.2631884713598527e-05,1.1077936898429014e-05
